OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
1	TARA_X000000368	TARA_004	DCM	[0.22-3µm]	36.5533	-6.5669	TARA_004_DCM_0.22-1.6	TARA_004	ERS487936	ERR599095|ERR598950	SAMEA2619399	SEQ-(100L)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	TARA_X000000368	2009-09-15T18:00	-49	16.3584	36.5811	26.8866	15.1848	0.6324	40	0.662801			0.001387698	0.022870243	0.044259438	0.008067715	1.15753	-4330.89	72.957942962646	0.00025195121997967											11	38	36					0.602176	4173.586521	6.849890504	14607.3	0.746714862									36.5533	-6.5669	0	summer	late		0.031746	4
2	TARA_X000000263	TARA_004	SRF	[0.22-3µm]	36.5533	-6.5669	TARA_004_SRF_0.22-1.6	TARA_004	ERS487899	ERR599003|ERR598955	SAMEA2619376	SEQ-(100L)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	TARA_X000000263	2009-09-15T11:30	-62	20.238088	36.599199	25.909909	18.5085	0.094049	9	14.83481			0.001387698	0.022870243	0.044259438	0.008067715	1.17632	832.628	72.957942962646	0.00025195121997967											12	36	25					0.602176	3762.955009	6.635940557	14590.9	0.745266014									36.5533	-6.5669	0	summer	late		0.031746	4
3	TARA_A200000159	TARA_007	DCM	[0.22-3µm]	37.0541	1.9478	TARA_007_DCM_0.22-1.6	TARA_007	ERS477953	ERR315856	SAMEA2591074	SEQ-(dry)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000159	2009-09-23T16:08	-2784	17.521075	37.1036	27.003675	48.0551	0.33747	42	0.188942			0.001387777	0.01524472	0.033489773	0.006918471		356.9545			0.0265	0.0256		0.0273	0.0243		0	0.0065	0.028	0.4985	18	43	45				0.635715	0.5693	4786.075692	6.801171081	16416.5	0.750016278	0.0181	0.0204	0.0256	0.0539	0.0778	0.0169	0.1317	0	37.0541	1.9478	0	autumn	early	-1.3813	0	0
4	TARA_A200000113	TARA_007	SRF	[0.22-3µm]	37.051	1.9378	TARA_007_SRF_0.22-1.6	TARA_007	ERS477931	ERR315857	SAMEA2591057	SEQ-(dry)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000113	2009-09-23T12:50	-2784	23.8141	37.522	25.61115	48.0551	0.065832	9	1.794369			0.001387777	0.01524472	0.033489773	0.006918471		356.9545			0.00065	0.00695		0.0067	0		0.0445	0.0475	0.14325	0.7935	18	43	45				0.635715	0.5693	3872.353048	6.525141459	15495.1	0.746406446	0.0045	0.002	0.00695	0	0.02065	0	0.0507	0	37.051	1.9378	0	autumn	early	-1.3813	0	0
5	TARA_X000001036	TARA_009	DCM	[0.22-3µm]	39.0609	5.9422	TARA_009_DCM_0.22-1.6	TARA_009	ERS488147	ERR594315|ERR594329	SAMEA2619548	SEQ-(dry)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_X000001036	2009-09-28T16:59	-2866	15.9708	37.68195	27.81605	157.8376	0.4575	55	1.233359			0.00138773	0.015086659	0.048709321	0.01675451		240.841	35.804248809815	8.1015790783567E-5	0.002	0.0067		0.0169	0.0071							56	25				0.600831	0.52087	4462.68593	6.907613079	15318.4	0.742404217	0.01	0.0124	0.0067	0.0025	0.0557	0.0014	0.0569	0	39.0609	5.9422	0	autumn	early	0.021447	0.190651	0
6	TARA_X000000950	TARA_009	SRF	[0.22-3µm]	39.1633	5.916	TARA_009_SRF_0.22-1.6	TARA_009	ERS488119	ERR594288|ERR594316|ERR594317	SAMEA2619531	SEQ-(dry)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_X000000950	2009-09-28T12:18	-2913	24.4828	37.8042	25.621	156.9683	0.0058	9	19.939398			0.00138773	0.015086659	0.048709321	0.01675451		240.841	35.93962097168	8.3104867371731E-5	0	0.0003		0.0003	0						25	54	35				0.600831	0.52087	3982.789601	6.62496839	15315.1	0.749529591	0	0	0.0003	0	0.0016	0	0.0089	0	39.1633	5.916	0	autumn	early	0.021447	0.190651	0
7	TARA_S200000501	TARA_018	DCM	[0.22-3µm]	35.7528	14.2765	TARA_018_DCM_0.22-1.6	TARA_018	ERS488346	ERR599073|ERR599092	SAMEA2619678	SEQ-(100L)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_S200000501	2009-11-02T14:07	-818	18.30575	37.84945	27.375	14.2151	0.024	60	0.437326	238.694625		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.878957748413	9.235052857548E-5	0.0017	0.0118		0.0452	0		0.0263	0.0131	0.038	0.58135	50	82	60	58	580			0.455844					0.0136	0.0055	0.0118	0	0.0825	0	0.0821	0	35.7528	14.2765	0	autumn	middle	-0.124391	0.066158	15.222222
8	TARA_A100000164	TARA_018	SRF	[0.22-3µm]	35.759	14.2574	TARA_018_SRF_0.22-1.6	TARA_018	ERS488330	ERR599140|ERR598993	SAMEA2619667	SEQ-(100L)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000164	2009-11-02T08:13	-793	21.48665	37.89575	26.565263	13.8783	0.0018	5	19.262582	208.245		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.042594909668	8.8988130301004E-5	0.001	0.0103		0.0228	0		0.01833	0.0256	0.118	0.5571	51	80	61	60	221			0.455844					0.0053	0.0033	0.0103	0	0.0428	0.0006	0.0541	0	35.759	14.2574	0	autumn	middle	-0.124391	0.066158	15.222222
9	TARA_E500000081	TARA_023	DCM	[0.22-3µm]	42.1735	17.7252	TARA_023_DCM_0.22-1.6	TARA_023	ERS477998	ERR315859|ERR315860	SAMEA2591098	SEQ-(100L)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_E500000081	2009-11-18T13:50	-1183	15.180558	38.47375	28.613475	57.9209	0.0656	55	0.054743	224.264417		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.013	0.012	0.05	1.0505	12	58	58	43	160		0.309499	0.542748													42.1735	17.7252	0	autumn	middle	-0.354776	0.078584	3.583333
10	TARA_E500000075	TARA_023	SRF	[0.22-3µm]	42.2038	17.715	TARA_023_SRF_0.22-1.6	TARA_023	ERS477979	ERR315858|ERR315861	SAMEA2591084	SEQ-(100L)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_E500000075	2009-11-18T08:41	-1184	17.211742	38.22805	27.9429	54.4621	0.0338	5	10.129158	221.782083		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.009125	0.012	0.040875	1.372375	16	58	3	37	115		0.309499	0.542748	3734.949352	6.583423185	14477.2	0.744611238									42.2038	17.715	0	autumn	middle	-0.354776	0.078584	3.583333
