		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
OM-RGC.v2.009397890	Biota; 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6379484905249E-7	0	4.1825137511391E-8	0	0	4.9170351429642E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7938711194504E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4013266418142E-9	4.5139721678064E-8	0	0	9.2606909203204E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009398369	Biota; Archaea; Candidatus Aenigmarchaeota; Candidatus Aenigmarchaeota archaeon CG1_02_38_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0760159050616E-8	0	1.4432267097013E-6	0	3.1814001244152E-7	0	0	4.9139931892439E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009398384	Biota; Archaea; Candidatus Aenigmarchaeota; Candidatus Aenigmarchaeota archaeon CG1_02_38_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5094840921411E-8	0	5.1295048678987E-7	0	0	0	0	1.4243792279233E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009429280	Biota; Bacteria	9.7395120874266E-8	0	1.7804744078802E-8	0	7.3559652467488E-8	0	0	0	0	0	4.0371864404783E-9	0	0	0	0	2.62120788696E-8	0	0	3.1534057571461E-8	0	0	0	0	1.582231771019E-8	0	0	0	0	4.6362118776128E-9	0	9.2890454895877E-9	0	0	0	0	0	0	0	0	0	0	1.9513085237423E-8	0	4.9621054504022E-9	1.672738353399E-8	0	4.3446415317524E-8	1.9000211298806E-8	3.1076500991827E-8	0	2.4146324023842E-7	0	2.1610286184102E-7	0	2.1907154894458E-8	1.0925904161349E-8	0	0	3.7311009558147E-8	0	0	9.5652087324515E-8	0	0	0	0	0	0	0	0	0	0	7.4482827147498E-9	0	0	0	9.2351968837575E-9	8.924508819285E-9	0	0	8.9680725279418E-9	0	0	0	0	8.0855647291692E-9	9.7283985968744E-9	0	0	1.008439326117E-8	0	0	0	0	0	0	0	2.6776448113886E-7	0	4.5612104316378E-7	1.0393914155667E-8	2.0467504576528E-7	0	9.45001963262E-9	0	3.0627666177635E-8	0	0	0	0	0	0	0	0	5.2329832762141E-9	0	0	0	0	0	0	0	0	5.6988829087875E-8	1.4828096906228E-8	1.6655714630004E-7	7.8102906399846E-8	2.0175271069632E-7	0	3.2111322844446E-8	6.7542668882018E-8	3.8244921301943E-8	4.5976107858046E-7	3.8122264204735E-9	0	2.3180560926713E-7	1.7165449733373E-7	0	4.7892202716609E-7	1.2103191914735E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0459390186137E-8	0
OM-RGC.v2.009448684	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.737684892694E-8	0	0	0	0	6.3088942972102E-9	0	0	0	0	0	0	0	0	7.4422560822915E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8689990189138E-9	0	0	0	0	0	0	0	0	0	0	0	2.5687443924393E-9	0	0	0	4.2422185409843E-9	0	0	0	4.3645280285022E-9	0	0	0	0	0	0	2.6085876474359E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0921437448322E-8	0	0	0	0	0	0	0	0	2.5682467479498E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009509414	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.3481417947053E-9	0	4.387642243294E-7	0	2.1502342773562E-7	0	0	5.9524742894713E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.287077673756E-8	0	0	0	0	0	0	0	0	1.9377892788304E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8414426593524E-7	3.8297900750852E-7	0	0	5.2702274862613E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009533391	Biota; Bacteria	0	3.8009170646667E-9	1.7930129600455E-8	0	6.8598782031235E-8	0	3.4851740607274E-7	2.4293477863662E-7	2.1899004526654E-7	1.1005565912299E-7	3.262481871107E-7	9.5719474475915E-8	1.3703888061158E-7	2.9093398231557E-7	3.6017708533869E-8	9.1999489305666E-8	3.6438051221382E-8	4.7561903544759E-8	0	2.1369167557503E-8	0	0	0	0	0	0	0	0	3.2270070453153E-9	0	3.5840847903855E-9	0	0	0	3.2485160863691E-8	7.3192710905215E-9	0	0	9.4049538332247E-9	0	0	0	0	4.7208310187654E-9	0	0	0	1.2259518979605E-8	5.8372762245649E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7818073504408E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3952641413916E-9	0	0	9.2324761141982E-8	0	1.2861231046354E-7	2.0946574273775E-8	6.3667908932534E-8	1.1955103517551E-7	2.637730967984E-8	9.4863346769072E-8	1.9712995818527E-7	1.1991551477071E-7	3.874707980052E-8	8.0356301191947E-8	0	4.2596426950389E-9	0	0	0	0	0	0	0	0	0	0	0	0	4.1217393334915E-9	0	1.0281220748657E-8	0	2.0748775657938E-8	0	0	0	9.7744804166876E-9	8.1505499291754E-9	0	0	0	0	0	0	0	0	0	1.0202815773076E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00195539418E-8	2.6653695833293E-8	1.5294005982842E-8
OM-RGC.v2.009614362	Biota; Bacteria; Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2803341602315E-7	0	2.7118277751566E-7	0	0	1.5788254464786E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009733466	Biota; Bacteria; Bacteroidetes	0	0	0	0	0	6.2308287187278E-9	0	0	0	2.1662482273991E-8	0	0	0	0	0	0	1.5168403888884E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2963580378267E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5376857253083E-8	0	0	0	0	0	0	1.6603886109364E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4352634774417E-7	1.038736371985E-8	4.3200259682343E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009750200	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9242393887948E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7753438258033E-9	0	1.0359321142472E-8	0	0	0	0	0	0	0	0
OM-RGC.v2.009780358	Biota; Bacteria	2.350805932385E-7	5.9929385377899E-8	1.6693254611778E-8	1.5299234952356E-8	4.2326896696132E-8	0	0	7.4508812965003E-9	1.6433821517544E-8	5.5931911009064E-8	1.4526847215586E-8	7.9414574351488E-9	4.0465925085584E-9	2.2743199306762E-8	7.8364825862045E-8	5.9090303406806E-8	5.2802644409433E-8	5.2202657167846E-8	0	6.5730937806812E-9	1.0564778449236E-8	0	0	9.3252547662892E-9	0	0	1.1151859711069E-9	0	8.9863606505684E-9	0	1.7532169357513E-8	1.2317355561425E-8	9.729412252235E-9	2.0265912624745E-8	0	0	0	4.5540435168262E-8	2.3816807396023E-8	2.7951539118804E-8	4.540239557454E-8	0	0	1.6826204175554E-8	4.3664432894487E-8	0	3.3298882090161E-8	9.090155856309E-8	3.4015545987891E-8	0	5.0122052068585E-9	0	5.1180090088379E-8	0	2.6386937184671E-8	2.1900212720573E-8	1.3697905742685E-8	5.680617230537E-8	0	0	0	6.8621268992733E-8	7.9554440411715E-9	0	0	0	0	0	0	1.384404050604E-8	2.4358330585733E-7	0	1.5553758010168E-7	0	0	3.0004464335524E-8	2.6767173062287E-8	0	0	0	0	2.4475804087875E-9	0	0	8.4105253561951E-9	9.7930288253676E-9	0	1.7256378615545E-8	3.5270978036482E-8	0	0	7.7287979422042E-8	0	2.9728049038616E-8	1.1484110218519E-8	0	4.2182004993576E-8	9.1669261785501E-9	2.9923506143172E-8	2.4201831082867E-8	2.3288752466764E-8	1.0030825923607E-8	0	5.5379149555394E-8	1.1519103011796E-8	1.9663397073082E-8	0	1.3185178123377E-8	2.6421018379058E-8	0	4.291342369639E-8	0	0	0	0	0	1.4022280466742E-7	0	1.8710554637531E-8	4.4540693432217E-8	0	1.6744136881606E-8	0	1.1064130354674E-8	0	3.0999605367693E-8	3.7201913119513E-8	6.3079568101731E-8	0	8.7846428947222E-8	7.6034159388847E-8	9.2305028423145E-8	1.720201403193E-7	1.6949644918406E-7	0	4.7461037919291E-8	4.1246970527475E-8	0	1.042432942702E-8	7.4670669954075E-9	1.4596730621839E-8	0	2.5285803054748E-8	0	0	0	1.1390970215451E-8	0	0	0	0	1.1100929004947E-8	0	0	2.6997289394666E-10	0	0	0	0	7.3529605738362E-9	5.3323024884827E-9	2.0372280110617E-8	3.209581756385E-8	0	0	0	1.6914555531901E-8	0	4.9328846736011E-9	0	0	0	0	1.9300232048638E-8	0	0	3.0914574371024E-8
OM-RGC.v2.009801679	Biota; Bacteria; Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4637546650546E-7	0	0	0	0	0	0	0	0	7.9162257907634E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5577229751587E-7	1.2074138825638E-6	0	0	1.3379313596848E-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009822387	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Polaribacter; Polaribacter sp. Hel1_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2234177563228E-9	0	3.1686031360065E-8	0	0	0	0	0	0	5.5659663097013E-10	0	0	3.6021381873227E-8	1.3952914617714E-8	0	7.107445483376E-9	6.9054092658059E-9	3.6144800420742E-9	0	0	4.8695103137825E-10	1.066460497692E-8	0	2.7424997651424E-9	0	4.517923045344E-9	0	0	0	0	0	0	0	0	0	0	5.3986686638795E-9	0
OM-RGC.v2.009824143	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Polaribacter; Polaribacter sp. Hel1_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8019012013124E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2170335316219E-9	2.7281328597018E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6856998527085E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6758993032015E-8	0	0	0	0	5.69548510775E-9	0	5.0585976133602E-9	4.4481520863604E-9	0	0	0	0	0	6.9054092658059E-9	2.3973592115633E-9	0	0	0	0	0	0	0	0	0	0	0	0	3.7074107005787E-9	0	0	0	0	3.8374197228232E-9	0	0
OM-RGC.v2.009863928	Biota; Bacteria	0	0	0	0	9.0208792219469E-9	0	0	3.2575210873478E-9	0	0	8.2473951569396E-9	0	0	0	0	0	0	3.7521057240864E-8	0	5.2837499567475E-9	0	0	0	0	0	0	3.4451887070505E-9	0	1.3649553204407E-8	0	7.2342191433304E-9	0	0	0	0	0	0	0	0	0	0	1.0462584135539E-8	0	5.7077214606975E-8	4.3365044332316E-9	0	4.5905754981029E-9	0	1.6539474606787E-8	0	6.1566438054494E-9	0	0	0	0	0	0	0	3.4144091446317E-8	0	0	0	1.0029719528769E-8	0	0	0	0	0	1.2899732139718E-9	0	0	0	1.086841253278E-8	0	0	0	1.3522364133276E-7	0	0	1.8250759243987E-8	0	0	0	0	0	0	0	0	6.6561240854962E-8	0	4.2257694518831E-9	5.0146793595573E-9	0	0	2.416783766461E-7	2.7589540925221E-8	6.079992062047E-9	9.5376120855405E-8	4.5257899702476E-8	2.0442624046519E-7	4.0063338842552E-9	1.8752949312401E-7	4.5538291553614E-9	0	0	0	0	0	0	0	0	4.3344599587514E-9	0	0	0	0	0	0	0	0	0	4.0328882076307E-9	0	6.1686917255011E-9	0	6.5086170563073E-8	3.9734869908212E-8	0	0	3.4800878970173E-8	0	3.5269351491046E-9	1.057485439284E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009977155	Biota; Bacteria	6.7820200806161E-8	7.7262805403657E-9	6.9478696194284E-8	1.4325078173942E-7	2.4171143438184E-7	3.9344058809945E-8	2.5841329644263E-7	3.7289764147553E-7	2.5013888688111E-7	0	8.2869423221053E-8	2.2449801487537E-8	8.4335273670925E-9	0	0	0	3.165483567879E-9	6.9797650160277E-8	0	1.3801303687322E-7	4.4715014121663E-8	5.7909698491089E-8	0	8.4560127927757E-8	0	1.6245189251121E-7	3.2014748829838E-7	0	9.7602020986207E-8	2.1656990734282E-7	2.8339538931009E-8	1.8614336162352E-7	1.6851864834418E-7	4.3158720066048E-8	6.3398116427219E-8	5.8545253940945E-8	8.0067155293517E-9	3.8847932550062E-8	1.8945990985251E-8	5.0761536731346E-8	3.1164107091175E-8	9.3786905272746E-9	0	1.9948060303709E-8	4.2366712376165E-9	0	1.1701962676723E-8	2.3877747986406E-8	3.8757570270158E-8	0	0	0	0	0	0	0	1.2446422887897E-8	9.5861677652917E-9	0	0	0	4.5056734123027E-8	0	5.6504950599028E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8829483083245E-8	5.8070630755355E-8	0	5.8700831878031E-8	8.3182428508727E-9	0	4.9694012902283E-9	0	0	0	0	0	4.4871612814726E-9	0	0	1.1331767629904E-8	0	0	8.1543339739767E-9	9.9253156278011E-9	0	4.6801944042787E-9	1.1835432783547E-8	0	0	0	0	0	4.7362649590225E-9	0	0	0	1.1038395199534E-7	0	0	5.2435364436839E-8	3.4946631432179E-8	7.9106455066503E-8	1.6607023638768E-8	0	8.6192260178719E-8	0	2.0842028419881E-8	0	2.6511344330132E-8	1.2059938788218E-8	0	1.2693546231398E-8	1.3649556912592E-7	2.4518957627183E-8	2.6044956362997E-8	2.3591815447646E-8	3.0889044677644E-8	0	1.0554349759574E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009992704	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1217820628108E-8	1.6353532538197E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5872742633938E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0243643823352E-7	0	1.2618623475392E-8	0	0	0	0	0	0	0	0	0	0	0	0	3.8408074052817E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8516491309182E-8	6.5747620097603E-8	6.8658969753138E-8	0	0	1.8664878025723E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9213888816555E-8	5.2080308143116E-9
OM-RGC.v2.010192854	Biota; Bacteria; Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5721509517069E-8	0	1.1788442999315E-8	1.2855751349283E-8	1.0310924940649E-8	4.9096509828536E-9	0	0	1.9540192893555E-8	9.0574691033333E-9	0	8.0728805652001E-9	0	0	4.7642230493928E-7	1.4532860644346E-8	0	0	1.1818011264448E-8	0	0	0	0	1.0360403199397E-8	0	0	6.9245193829731E-9	1.2786118475666E-8	1.0584523775969E-8	0	8.8805024003864E-9	0	0	0	0	0	0
