		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_MES_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
OM-RGC.v2.008655762	Biota; Bacteria	1.9837979612913E-8	0	0	0	3.5525262758668E-9	0	0	0	0	0	3.88766101674E-9	0	0	0	0	0	0	6.3658536910115E-8	0	0	0	1.3478298650165E-8	0	1.3247872389983E-8	0	0	0	9.2244455277535E-9	3.4464342942767E-8	1.8541182610529E-8	2.8537035404651E-8	1.4038034967616E-8	6.4022703108349E-9	2.1875529201121E-8	7.1821162053829E-9	4.4639123990951E-8	7.0416596685348E-9	1.6622427767633E-8	1.511814363012E-8	0	2.623748371769E-8	5.0803730924958E-8	1.4022819497268E-8	1.2223978153177E-8	1.3596952594517E-7	1.8857833289224E-8	4.5150783766979E-9	0	4.3419037170766E-8	4.8996842105414E-9	0	1.0757432169755E-7	3.3916520967436E-8	0	0	9.5175875361177E-9	1.2938219342349E-8	0	8.4912478848731E-8	0	0	0	0	2.1294776792891E-8	0	0	0	0	3.0782235558579E-7	0	7.4001458214148E-8	4.0066674161107E-8	4.6516019549421E-8	0	1.1509012024709E-7	0	0	3.3502168580074E-8	0	0	5.0318742884427E-8	0	1.9776692396839E-8	4.6605058604691E-9	0	0	5.8608697834803E-8	0	2.0246648621917E-8	2.1741109682543E-8	0	0	4.0739639541375E-8	5.3569897648632E-9	2.6373258583783E-8	6.9777753126966E-9	0	0	0	0	2.5547879163193E-8	2.9998521081873E-8	1.8885360817837E-9	1.3443273608187E-7	0	0	1.5099459631348E-8	0	1.6262885509979E-8	1.2828008494318E-8	0	6.8156034335013E-8	0	0	0	0	0	1.0727682667803E-7	1.9385056567929E-8	1.1225026799614E-8	1.0415213822477E-8	1.6154684541241E-7	6.7809881953246E-8	4.2740148862928E-8	1.6283188713553E-7	1.4679986744892E-7	5.7667193633438E-8	3.5097982313614E-8	4.3378613351349E-9	1.395738357575E-8	1.2868785482819E-8	1.4301846839078E-7	4.4904214327509E-9	9.7562278772776E-9	0	8.7406100466249E-8	7.7433409459803E-9	0	1.6498101116333E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5323493884267E-8	0
OM-RGC.v2.008671110	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7225442340576E-7	0	2.155847706757E-7	1.1791129099268E-8	0	3.3252546575922E-8	0	0	0	1.3145743034663E-8	0	0	1.3770212730811E-7	0	2.3176009048338E-8	1.3771684437886E-7	1.2543572708792E-7	6.9031356059174E-8	4.9823517549031E-8	1.3049525454986E-7	4.9080732789445E-8	1.8051479246825E-7	2.5856029845781E-8	5.2196917822873E-8	7.1289500243488E-8	7.4180279094742E-8	3.9759714323602E-8	1.9974024258757E-8	0	8.1783772615904E-8	3.6099574278422E-8	0	7.5092569684734E-9	0	0	0	0	0	0	9.2443200441686E-8	9.8427342700946E-8	9.3642809721197E-8	0	7.3970021694717E-8	3.9823907966501E-8	0	1.6295413284781E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0003315803391E-8	0	0	0	4.0565350862869E-8	0	1.0340407693649E-8	1.9231665441032E-8	0	3.1351065944428E-8	0	0	7.259533603843E-9	1.0123324310982E-8	0	9.4384355635462E-9	5.4327188070682E-9	1.1418060409576E-8	1.2363932377279E-7	0	0	1.1526898818978E-8	4.8248292870789E-8	0	2.6284728169412E-8	1.032654319273E-7	6.335467479861E-8	0	0	4.3237464490091E-7	0	0	0	0	0	3.8496160272208E-8	0	0	1.8881126933183E-8	0	0	1.9816818739882E-8	0	0	0	0	0	0	1.0056505614822E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009368087	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4328477302899E-8	4.8929376370261E-7	0	6.6528817373404E-8	0	0	9.5755850660127E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009509421	Biota; Bacteria; Parcubacteria group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6800094398967E-7	0	0	3.0055356941353E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013113351	Biota; Bacteria	6.5483522590094E-9	0	8.3996477207799E-9	0	4.3678601752529E-9	8.3516918455102E-9	0	0	0	0	1.5200117253984E-8	0	0	0	2.6091433451627E-8	0	2.5336233031475E-8	3.4334417124296E-8	3.4482706980528E-8	5.2680365603387E-8	5.2395153914439E-8	0	3.7852558747407E-8	0	3.4184596892691E-8	1.388260028591E-8	0	6.9852541190861E-8	7.4569927610054E-8	5.5204761364895E-8	3.9432174538983E-8	1.0053169275309E-7	6.0077108576878E-8	1.0275355489683E-8	5.6780919788485E-8	0	0	2.0046449001779E-8	1.88312039264E-8	5.7098240518504E-9	3.0135672665847E-8	0	1.5184901043812E-8	3.782000587658E-9	0	5.386656786447E-8	1.8660200969422E-8	0	0	0	0	1.9209888873852E-8	2.0390087587804E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4726208095718E-8	0	2.738139860221E-8	4.3128697571979E-8	0	1.0486842738116E-7	1.7633306212837E-7	0	1.8729724145824E-7	3.2474441371706E-8	2.1774494594012E-8	4.8081504006897E-8	0	0	3.2328290888698E-8	0	0	2.6973205553795E-9	1.3158757438439E-8	0	5.1440157310584E-8	9.9649769274025E-9	5.0448488773877E-8	3.0808941643405E-8	7.6251484972732E-8	0	1.3266909423012E-7	9.048631790462E-8	1.9268985373397E-7	0	0	0	0	0	0	0	0	8.0080221397143E-8	1.1981968148876E-7	0	1.1948386322518E-8	0	2.4047055187872E-8	3.6839790903348E-8	0	0	0	0	0	0	1.7688115705624E-8	7.7047634411504E-9	0	0	0	1.1872293794948E-8	0	9.8207237997835E-9	0	1.2173826958113E-8	2.1981290029631E-8	2.106416330936E-8	0	9.425296151427E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.015299713	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4727836853005E-9	0	1.0687980783598E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.015802465	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6387457325869E-8	0	1.4075714370026E-8	0	6.0021500872629E-9	0	3.5080683237733E-9	0	0	0	0	4.6841713699511E-9	1.6844300533244E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8386581165189E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2804148021601E-8	0	0	0	0	0	0	0	1.007027509685E-8	0	3.658587327511E-8	0	2.9020006342476E-8	6.6732469961852E-8	2.0136545686151E-8	7.4151257850428E-8	4.8891682692066E-8	1.3523221784521E-7	1.365639529369E-7	5.1972803855619E-8	7.0255879513237E-9	2.1349532777032E-7	0	9.3736279338269E-8	9.1219333265071E-8	2.1456215420109E-7	1.6222965623998E-7	0	2.4512873637605E-7	1.2947916706202E-8	8.4464057651143E-8	2.6306417545847E-8	4.8553659126797E-8	5.6894556276113E-8	1.3081435432442E-7	2.4538999499857E-7	7.5339884156054E-8	1.4696608343896E-7	4.6970231792947E-7	5.9073032685171E-8	8.3863601053663E-8	2.3871765526102E-7	0	1.9294173764029E-8	0	6.5217683170053E-9
OM-RGC.v2.016537273	Biota; Bacteria	0	0	1.071848051066E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2893632993129E-8	4.9737831390247E-8	0	0	3.6752885142978E-8	0	1.1015061439313E-8	1.7146274452896E-8	0	7.0452194056053E-8	3.6577634275346E-8	9.833153054301E-9	0	3.5739169416693E-8	0	1.3112001981148E-8	1.9749189015905E-8	0	6.6354100722833E-9	8.89460451514E-9	0	7.2860957808507E-9	0	0	2.451294875628E-8	0	0	2.2373621912766E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5785245348369E-9	0	0	6.1440342958792E-8	1.6968233670982E-7	0	6.3071948874545E-8	7.9903014244983E-8	0	3.938422989335E-8	0	0	0	1.3919570927571E-8	0	3.4419512299444E-9	0	1.2434267786044E-8	3.2197129110166E-8	1.2715939350789E-8	5.8381113849291E-8	1.2424490927934E-8	3.9489272634624E-8	0	1.2492894126252E-7	9.0678940179423E-8	0	2.8177360156713E-9	0	0	0	0	0	0	0	2.2154719176346E-8	1.9268404704451E-7	0	0	2.2436001105267E-8	1.8912125787137E-8	0	0	2.2548414362945E-8	0	0	0	0	0	0	0	6.9190568277339E-9	3.9877448934522E-8	3.8241789005595E-8	0	1.0982842782768E-8	0	2.9468390652532E-8	2.6173521671639E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.021811110	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.872427529729E-9	0	0	0	0	0	0	0	0	0	3.0610950063203E-8	0	2.5678892223465E-8	0	0	0	4.4500534613296E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4420023614117E-9	2.2215571708966E-8	0	0	0	0	0	0	0	0	0	5.0882856544771E-9	0	0	0	0	0	4.7680108163064E-8	0	0	0	2.6563546916445E-8	0	0	0	0	0	4.4571811420314E-9	0	0	0	0	9.6174322362954E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2245141853641E-9	0	0	0	0	0
OM-RGC.v2.022377536	Biota; Bacteria	0	0	0	0	0	0	0	3.4549466077865E-9	0	0	6.2457504859275E-9	0	0	0	0	0	0	0	0	7.5466932588298E-9	0	5.8183502001759E-8	0	2.2253167941591E-7	0	0	8.7823391156116E-8	0	0	0	0	0	0	0	0	1.951434554762E-7	0	0	0	0	0	2.846926053721E-7	0	0	1.4615303592436E-7	0	0	0	2.3724719094292E-7	5.5501340917077E-8	0	0	1.1187976728539E-8	0	0	1.9773194092361E-7	0	0	2.5462175722354E-7	0	0	0	0	7.7877288077688E-8	0	0	0	0	0	0	2.1185934519031E-7	0	0	0	1.176784355648E-7	0	0	1.0409632869638E-7	0	0	1.5145265639107E-7	0	2.5272912705409E-8	1.5555393331022E-7	0	0	2.3863335941785E-7	0	0	7.3814078436099E-8	0	0	1.6314648820891E-7	0	0	0	0	0	1.5402525052091E-8	0	0	0	0	1.8863212101287E-7	0	0	2.3707821023902E-7	0	1.5139627211464E-7	1.754160536827E-7	0	4.5682959043806E-8	3.4772828193421E-8	0	0	0	0	1.2591779415706E-7	0	1.2273922746474E-7	0	1.5102704860887E-7	0	0	0	3.0833370599536E-7	0	0	0	0	0	1.975816148624E-7	0	0	0	5.6268651612471E-8	0	0	6.2719514596542E-8	0	6.855895323871E-8	2.0390725100106E-8	0	0	0	0	0	0	0	1.7045688799932E-8	0	0	0	2.789616171371E-8	0	0	3.5647771683E-8	0	0	0	0	0	0	0	1.7617793577657E-8	9.5404963397248E-9	3.6325207391776E-8	0	3.2793472612583E-8	0	0	0	0	5.4306380299841E-8	0
OM-RGC.v2.023174568	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6341928872221E-8	0	7.8110322151566E-7	0	3.1092275431237E-7	0	0	5.2127828190345E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.589896888574E-8	0	0	0	0	0	0	0	0	0	0	0	6.5100986912692E-9	0	0	1.8036618926613E-8	0	0	0	0	1.4390537743983E-8	0	0	0	0	0	0	0	0	0	0	0	7.0644460913214E-8	0	1.0578432185972E-7	1.3151783516187E-7	0	0	4.0151544185029E-8	0	0	0	0	0	0	0	0	2.174787546242E-8	0	0	3.7723561876196E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.026752222	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.754715341717E-7	0	2.1592416401437E-7	0	0	1.2147675236327E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.029234449	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1840273314852E-8	0	0	0	8.2314113011934E-9	7.7654109863964E-9	0	0	0	0	0	0	3.161952351821E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.029737233	Biota; Bacteria	0	1.5097348900253E-8	1.7892452177675E-8	5.0055017113058E-8	3.9194123861701E-8	1.3447866981434E-7	5.3499236863165E-8	9.7849886444302E-9	3.4275939480916E-7	2.3111819849981E-7	3.9964067794461E-9	2.2438840876232E-7	6.7651789045786E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6311549299973E-9	2.0249979875237E-8	0	0	0	0	0	3.1667708150761E-8	8.7967357062069E-8	0	9.1993826765469E-8	3.5001953748683E-8	0	0	0	0	0	0	0	4.1979074863291E-8	0	3.3793181289339E-8	0	0	1.6431925702095E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.694056736253E-8	2.4557495889019E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0960114273447E-9	2.0262934822038E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.029937563	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9444985708018E-9	2.5395397176855E-7	0	1.5102875703661E-8	3.0582881350666E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.020611768883E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6875046529192E-8	0	9.3919377854472E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.033688666	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2194214774151E-8	2.3296648313746E-8	0	4.6373256447171E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7909908422779E-9	0	0	3.0729876003485E-9	0	0	0	0	6.4199121886871E-8	2.0285789892895E-7	2.1816229032526E-8	2.2676716928806E-8	0	0	4.2921195737678E-8	0	0	0	2.7457200248575E-8	4.4510171205826E-8	0	0	1.0239247912884E-8	0	1.7808246271097E-8	0	0	7.3576893049349E-9	0	2.4320968542474E-8	0	1.19958218913E-8
OM-RGC.v2.034557199	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1087247660536E-8	0	1.1963365844039E-7	0	0	1.2250165274783E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8542645291043E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8893942677578E-8	0	0	0	0	0	0	0	0	0	0	0	0	2.0422566169045E-8	0	0	0	0	0	0	0	0	0	0	0	1.5561298961949E-7	2.6276099868167E-7	0	0	8.5576842749394E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.005296231	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.005445234	Biota; Bacteria; Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
