		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
OM-RGC.v2.009922908	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1576501522562E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.296631401189E-9	0	0	0	0	0	0	0	0	0	0	4.3575350414079E-9	0	4.2686565537714E-9	8.617053970525E-9	0	0	0	0	0	1.4818718851243E-8	0	0	0	0	1.1272792424814E-7	0	0	3.8066881967703E-7	0	0	4.0491531429829E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3862726674919E-8	0	0	2.0286567052311E-8	1.0244838697471E-8	0	1.0713378313915E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5902527784664E-9	0	0	0	0	0	1.1690935874504E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.010092156	Biota; Bacteria	0	0	0	0	0	0	3.9910807305672E-8	1.2160913150153E-8	0	0	0	0	0	0	8.7276161087217E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7006805523508E-9	8.5378469295379E-9	6.5863517476897E-8	6.6469100157448E-8	4.442310194243E-9	7.7120415352547E-8	0	0	2.8551617911295E-8	0	0	1.1744208029353E-8	2.0674779738731E-8	1.4973563173443E-8	0	0	5.4507653511308E-9	0	0	0	0	0	0	0	0	0	1.8591780211245E-8	0	0	0	0	0	0	6.0311751178349E-9	0	0	0	0	0	0	0	0	0	0	0	7.1824879774699E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0046970487936E-7	3.4462169980776E-8	1.4724119304474E-7	0	0	0	0	0	5.7607976939017E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0782607103224E-8	0	0	4.8612244172884E-8	2.643380965982E-8	2.7906385917679E-8	4.5964349057819E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.010482631	Biota; Bacteria	2.033961546328E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1494973836806E-7	0	1.3334443833345E-7	8.7718253820174E-9	3.8477629652297E-8	0	9.2407307089876E-10	0	1.1850398977259E-8	0	0	5.9465884364742E-8	3.9991279043279E-9	3.7908548585047E-8	1.2263745459596E-8	0	0	0	7.8422371801262E-9	2.2181441794729E-9	3.0379105838173E-8	9.3950857802319E-8	1.3338227914347E-8	6.8212105077919E-8	1.1314125225953E-8	0	0	0	0	6.1649970135911E-9	0	1.1694578004813E-8	0	0	0	6.5237012280365E-9	0	0	0	0	0	1.3747232440957E-8	0	0	0	0	8.6865717078857E-9	0	0	0	0	0	0	0	0	0	1.9738955114617E-8	0	0	0	1.4491868743894E-8	0	9.8244061047714E-9	3.2072601068848E-8	0	6.5978159674114E-8	9.0680010389319E-8	0	1.6204641332118E-7	4.0468251469544E-8	1.7452213622014E-8	1.2672155988619E-7	8.044107033471E-9	0	9.5701249351529E-9	0	2.7891181413347E-9	0	4.9828431340935E-9	0	3.3267976252796E-8	0	3.6721636014708E-8	4.2004468031253E-8	3.8307178225221E-8	0	1.2570864517075E-7	1.0893029344039E-7	1.0403703236534E-7	0	0	4.8648044284146E-9	3.2792871751275E-9	0	0	0	0	1.4146435880196E-7	0	0	1.2632406337802E-8	3.3322339835855E-7	0	2.3591052285302E-8	0	1.4424353305686E-8	0	2.851782885943E-8	0	3.7812146264803E-8	7.5657827701242E-8	1.6291689923321E-8	0	7.7637922657486E-8	3.6561881423816E-8	2.0698775177369E-8	0	9.9109878053034E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011374021	Biota; Bacteria	0	1.101490251396E-8	0	0	0	0	1.5980865408003E-8	4.2372735982885E-8	0	4.1698042265833E-8	8.8477802449898E-9	4.429565279878E-9	3.0838081407852E-7	4.3580539456864E-8	0	0	0	0	0	7.0767791278297E-9	1.8582255118077E-8	6.1306250172552E-9	0	0	0	9.2168902160019E-9	7.660996417959E-8	0	7.3215994199819E-9	0	0	0	0	0	0	0	0	0	2.8746468731483E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1052770857221E-9	0	0	3.6435215389694E-9	0	0	0	0	0	0	0	0	0	0	0	9.3663452041024E-9	3.8476678851587E-8	0	0	1.0344429490358E-8	4.8235973781385E-8	0	2.1090908558393E-8	0	0	0	0	0	1.350988131622E-8	4.4300220546705E-9	0	0	4.077841544197E-8	0	0	5.2276967236461E-8	0	5.3701443723364E-9	0	0	0	1.0070788396965E-8	0	0	2.166925347092E-8	1.0799471588228E-8	9.8703686125624E-9	9.5190602558125E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9699154843723E-9	1.2623068582952E-8	3.7544573829345E-8	0	5.0259371940855E-8	0	0	0	5.3179165485173E-9	1.1443609837546E-8	0	0	0	0	0	1.1344671379315E-8	9.1810597975031E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011415402	Biota; Bacteria	0	0	0	0	5.5942080436185E-9	0	0	0	0	0	0	0	0	0	0	2.4541330149066E-8	0	0	9.7768118571806E-8	0	0	0	3.0726916592002E-8	0	5.1707816407551E-8	0	0	1.3968929127588E-8	0	0	1.1543774092646E-8	7.868333678236E-9	0	0	0	2.3767699828179E-9	2.1000755875459E-8	0	0	0	0	0	3.5301486420235E-8	0	0	3.3034741710361E-8	0	0	0	0	0	1.1510794058996E-8	0	1.1151005444723E-8	0	3.4084822763767E-8	0	0	0	3.088862372953E-8	0	0	5.1122681649031E-8	0	0	0	0	0	0	0	0	0	0	0	6.4511329674751E-8	0	0	5.0855819002664E-9	3.5775700961564E-8	0	7.6614881383929E-9	4.691321176455E-8	0	0	1.1256584545926E-8	0	0	3.0480779708163E-8	0	4.7825862687711E-9	1.1106141067142E-8	0	0	5.004849981621E-8	0	1.2364118664355E-8	3.1650863455349E-8	0	1.1480698772529E-7	0	8.330950637578E-9	0	1.0799471588228E-8	0	0	0	2.5468218429592E-8	4.8911600343535E-8	0	5.0257274714654E-9	1.3885569632896E-8	0	7.7171135083635E-8	0	0	2.7744390686135E-8	0	0	0	0	3.1570242268388E-8	1.9775794044764E-8	9.6759479258532E-9	3.5674941495358E-8	0	1.6331737895164E-8	8.0991869034172E-8	2.0541279658357E-8	8.8419525467349E-8	6.2248417995298E-8	1.1452231990768E-8	9.9975227729064E-9	0	0	1.1430419447871E-8	5.7039323438778E-8	0	0	0	1.122312861683E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1624719498419E-8	0
OM-RGC.v2.012656234	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3784242172047E-7	2.0513729604824E-7	0	1.4173022101907E-8	0	1.6079921561889E-8	0	0	0	0	1.5760723826593E-8	8.9670396908867E-9	1.6582011227778E-8	7.2212505396522E-8	4.6049504210711E-8	8.840266841531E-9	0	5.6023129807214E-9	1.6336803641089E-8	2.2961400431371E-8	0	0	0	4.4571675842058E-9	1.419855483781E-8	0	0	0	0	0	0	0	0	0	8.9694306639676E-8	2.649539993928E-9	0	2.6699985785668E-8	0	0	0	0	0	0	4.8756847530653E-9	0	0	0	0	0	0	0	9.024079653452E-8	0	0	1.7263282898199E-8	8.5883791615404E-8	2.2054375011677E-9	0	0	0	0	0	1.634476678573E-8	0	0	3.8951032532355E-9	4.7182879839509E-9	1.2776726414674E-7	0	0	0	0	0	0	2.3132867178512E-8	1.4713275811327E-8	4.3175825451144E-8	5.1933593874645E-9	3.0617479929324E-8	1.9221193475857E-9	2.5325386534147E-8	0	2.3876650696317E-8	5.3068553448723E-8	7.4171883670221E-8	0	0	8.5997187959976E-9	0	0	0	0	0	9.7343456823742E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7666644674773E-9	0	1.1685357521345E-9	0	0	0	0	0
OM-RGC.v2.012663888	Biota; Bacteria	3.5228809952281E-8	4.3526630902138E-9	0	8.9754927175114E-9	1.1801000321672E-9	0	0	0	1.7749441779067E-8	0	2.0719651982482E-9	1.3168158319565E-9	5.6223803082626E-9	0	0	0	0	0	0	0	1.1444396435157E-8	1.2903976850835E-8	0	8.3171027903353E-9	0	0	0	0	4.8709091072139E-8	8.3304978095591E-9	1.1492194456846E-9	3.8796171723859E-8	1.9981093861751E-8	2.9667505260641E-7	3.5057299700395E-8	4.7745233338991E-8	0	2.0109355014998E-8	1.2040829350319E-8	2.3225324574239E-8	1.1963684505289E-8	6.3197383205827E-9	0	6.5103402649403E-8	9.7921067846825E-9	0	6.4235291464104E-9	4.6315997013238E-8	0	0	0	0	0	0	5.949722340432E-8	1.4014324239879E-8	0	0	0	0	0	0	0	1.1113901158897E-8	0	0	0	0	0	5.6150553201788E-9	1.8373466816092E-8	2.0303297797849E-8	0	0	0	0	0	1.4029010408627E-7	0	0	1.1158025063725E-8	0	8.5117949085851E-8	1.6436454559223E-7	0	1.2684633549691E-7	1.0483863955765E-7	7.0302227516251E-8	2.4065511267924E-7	5.5723811292389E-8	0	5.3011444736997E-9	0	0	0	0	1.0720453751E-8	5.9214393597914E-8	1.0492705701164E-8	3.8357469262681E-8	3.5630252250623E-8	8.2584118467572E-8	0	1.0387766967267E-8	2.7355648588439E-7	3.6518589546347E-7	0	0	0	0	0	0	0	0	1.551565758509E-8	0	0	5.8778352070557E-9	0	0	0	0	0	0	0	0	6.1227660635841E-8	1.33261067276E-7	0	0	1.6734966512506E-7	2.1687351696556E-8	2.0312210615508E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012773102	Biota; Bacteria	7.9647316899048E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8339833723357E-9	0	8.5211992563839E-9	0	6.5364463396465E-9	0	0	0	6.7589693101824E-9	2.9258901098608E-9	0	0	0	0	0	0	0	0	0	0	0	0	1.3436262412833E-9	0	0	0	0	0	8.4148554334965E-8	0	0	0	0	0	1.2651046923672E-8	0	0	0	0	0	5.2258039244741E-9	0	0	0	0	0	0	0	0	0	0	0	2.6224995423205E-8	0	0	0	2.6652042943701E-8	0	0	8.2985379019392E-9	0	0	5.299366019233E-9	0	4.6329185487351E-9	4.6811164221652E-9	0	0	2.9917691075414E-8	0	0	1.6436072817233E-8	7.5872314573473E-9	0	6.04256202257E-9	0	0	0	0	0	0	0	0	0	0	0	0	4.2038212842026E-8	1.6066374843627E-7	0	3.6713042057205E-8	0	0	0	7.8219328970505E-8	0	0	4.7717169968291E-9	0	0	0	1.186758650682E-8	0	0	0	0	0	0	0	1.2101346354585E-8	5.2820919913511E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012972537	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.361913988676E-7	0	7.5422888734639E-8	0	0	2.1246080451175E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8210095535993E-8	0	0	5.3012943167566E-9	0	0	0	0	0	5.3985778089898E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3623257995933E-7	1.7175559255594E-7	0	0	8.6773424510316E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013666310	Biota; Bacteria; Firmicutes; Firmicutes bacterium ADurb.Bin080	1.0913201188974E-7	2.7099425431849E-8	2.1306095424788E-8	2.1040447164716E-8	3.7011675426429E-9	0	0	1.7010906675927E-8	0	0	0	0	0	0	0	0	1.1791807704152E-8	0	1.9847687214502E-7	0	0	0	0	5.7417908495705E-8	0	0	6.6738965867471E-8	0	0	1.8816412025464E-8	2.4301520746449E-8	0	3.9212560105584E-8	0	5.0426427835518E-8	3.4288610073592E-8	0	6.9100433792689E-9	3.4531845911185E-8	0	1.2476270820477E-8	7.0261286767853E-9	0	2.7229783036337E-8	0	0	2.3183287154367E-8	0	0	0	0	6.3174142353976E-9	0	0	0	0	0	0	0	0	0	3.5710924470008E-8	0	0	0	0	0	0	0	0	0	7.3016892509754E-8	0	9.5405562735254E-8	0	0	0	8.610886081421E-8	0	0	1.1682446607441E-8	0	0	0	1.4056815202311E-8	9.9414054441927E-9	5.4630066138329E-9	0	0	2.4022876704244E-8	0	0	0	0	0	3.9080000428669E-8	1.5579705999844E-8	2.5400797167784E-8	1.0777850444234E-8	0	3.490465669096E-8	7.0385385695067E-8	1.1793565207244E-8	4.743822466146E-8	8.2178995542041E-9	0	0	0	0	0	0	1.1568540737772E-9	0	0	5.8781588674658E-9	1.2524127338844E-8	0	2.6042638085102E-9	0	1.1257770160888E-8	2.3588673401084E-8	0	3.2050074158849E-10	0	0	0	3.0895537598193E-8	0	0	0	0	0	0	0	0	0	2.7900735680581E-8	1.2584367475867E-8	0	1.2256219953941E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013753432	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2964183593051E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2902578155655E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0977920282617E-9	0	0	1.7297692457421E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4263765333698E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6525358581045E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013854119	Biota; Bacteria	0	0	0	0	0	0	8.5751110980661E-9	8.5717662674149E-9	0	0	0	0	0	0	6.4832581956728E-8	0	9.304133046182E-8	3.3626245167509E-7	0	1.0999760578002E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9488604369313E-8	0	1.5379143784162E-8	4.966386668237E-8	3.2137989287257E-7	2.1154912057556E-8	1.7752670724679E-7	0	1.7909316179937E-8	6.0181165694008E-9	0	0	0	6.8373685410473E-8	1.3158456264205E-8	0	3.7765161785254E-8	0	1.8495202587463E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1144583581217E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6603985696913E-8	0	2.2165384160028E-8	0	0	0	0	0	0	2.0905158777302E-7	3.8807946608498E-9	2.0383013561005E-8	0	3.7358694964195E-8	0	0	0	0	9.4014324769066E-8	0	0	3.1529879215052E-8	0	0	0	0	0	0	0	0	0	1.8056848627681E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.014643499	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7472722786867E-8	3.6304482502791E-8	1.2442563531136E-8	9.0955258432559E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6687194309997E-8	0	4.9265438713597E-9	0	0	0	0	0	0	0	0	0	0	0	0	3.0217175661625E-7	0	8.7936700590276E-9	0	0	0	0	0	1.0216850450789E-8	0	1.0935577050462E-8	9.7163515256633E-9	3.6690959847376E-9	1.0131010619936E-8	0	2.503443896683E-8	0	1.0827178103495E-8	1.0005724434606E-8	7.8436679851741E-8	0	0	0
OM-RGC.v2.014717552	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8065767806946E-9	5.5359215323341E-9	4.7463089885907E-9	3.0451872543311E-8	0	1.6061211759658E-8	1.4585838455107E-8	2.6407925651104E-8	0	5.7277449086078E-8	0	7.0195749821328E-9	2.183112614471E-8	0	1.4243012039367E-8	6.2241005143178E-8	4.4255655672539E-9	1.0214608012569E-8	0	8.7523494583089E-9	2.5166369680945E-8	2.3138426860159E-8	0	6.3586893328153E-9	4.1493902813294E-8	2.2766326064899E-8	1.2899972857891E-8	0	0	1.7208542672962E-8	7.9301306647823E-10	0	1.4155221878179E-9	0	1.3558931020084E-8	0	0	0	0	0	2.9981296932402E-8	0	0	0	2.6275791303287E-8	0	0	3.035093131119E-9	0	0	0	0	0	0	0	0	0	0	5.8722462125326E-9	0	0	0	1.6887221964307E-8	2.8563683321294E-8	0	2.3761588868505E-8	5.523842100104E-8	0	8.1658322300509E-8	2.3746399672348E-7	0	3.0840678619152E-7	1.9937526127724E-7	5.5830502025987E-8	3.110176266913E-7	0	0	2.6352123319201E-8	3.0524135232188E-9	0	0	3.2978123931709E-9	3.3321871774405E-8	9.1795280397123E-8	0	1.3582117796248E-7	9.2052821578262E-9	4.6810272809801E-8	2.9098754892865E-9	5.4589380557915E-8	3.0800479867651E-8	1.0562111919678E-7	0	0	1.9493059831367E-8	0	0	0	0	0	5.8847782651258E-8	0	0	0	6.3261888938761E-8	3.5035189644674E-8	1.6948918884969E-8	0	0	0	0	0	0	1.5548194323159E-9	0	0	0	1.1345014972715E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.015605992	Biota; Bacteria	3.1849126380139E-9	0	0	0	1.4595280897945E-9	0	0	0	0	0	0	1.6286159168205E-9	0	0	0	0	0	7.0667462067984E-8	0	0	9.021337533211E-9	4.3051833080815E-8	0	0	0	0	1.1286850895361E-8	0	1.7138452453939E-8	9.2644101200645E-9	0	0	2.058646920176E-8	0	4.3596065863513E-8	1.2620497150663E-7	5.3026538105128E-9	5.6466872133468E-8	4.8583336866993E-8	4.385070046196E-8	8.6481880818511E-8	3.881947136213E-8	0	1.2513647897417E-7	7.2962173244101E-8	0	1.1061386928693E-7	0	4.6709234927949E-9	0	0	0	2.7518870935066E-8	0	0	0	0	0	0	0	0	1.8959381154951E-8	4.0724827749786E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8240254812305E-7	0	3.2400459323926E-7	4.1479309642042E-8	1.2476780263223E-8	1.2309541260517E-7	4.4780449009989E-9	0	0	0	0	0	0	0	0	0	0	0	2.1772841999655E-8	0	9.8603091256064E-9	1.4754485712219E-8	5.7913794392045E-8	0	0	0	0	0	1.1208223519692E-8	0	1.1370651269456E-8	1.8551959786625E-7	0	0	0	2.9553055852427E-8	1.5020319499904E-8	0	0	1.3009996926902E-8	0	0	0	1.2448217212245E-8	1.3393642007142E-8	0	0	0	0	0	0	4.2982181294116E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.016095309	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4330780013641E-8	0	2.146691284742E-6	0	3.4033777643342E-7	0	0	1.861221422895E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1713405026555E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8036735049432E-8	0	1.0971595523101E-8	5.9750606176151E-8	0	0	1.0047620048563E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
