		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_MES_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_173_DCM_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_188_SRF_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_209_MES_0.22-3	TARA_210_SRF_0.22-3
OM-RGC.v2.009231517	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0369390998314E-8	0	0	0	0	0	0	0	0	9.9408919883152E-9	0
OM-RGC.v2.009260770	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0542848027518E-8	2.7744300804417E-8	1.0322079392186E-7	7.7525623438087E-9	1.1924636761973E-8	0	0	1.5130600779821E-6	0	0	0	0	0	8.6350280808949E-8	0	1.3744309884178E-8	0	0	0	0	0	0	0	0	0	0	0	0	2.0040413265191E-7	5.5721689924665E-8	2.8167581693266E-7	0	0	7.1536940814223E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3014209513631E-8	0	9.6204395541803E-9	4.6967620591765E-7	0	5.4352635125296E-8	0	0	0	1.9030318857765E-8	0	0	0	3.0986172938717E-7	7.1261757637346E-7	0	0	2.3311711158671E-8	4.5372276180474E-9	0	0	0	0	0	0	0	0	4.0247756382572E-8	5.5101982072034E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009596244	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7476777504199E-9	0	4.219453575727E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4604909139552E-9	0	0	0	6.1320026406702E-8	0	0	0	0	0	0	4.8318997403314E-8	1.4465400263577E-7	3.8071601222914E-8	0	1.3306717774094E-8	5.3983238707601E-8	0	0	0	0	2.3172495096836E-8	0	0	1.0391833956356E-8	0	0	4.9650344967618E-8	5.3193183998886E-9	1.0647431007026E-8	0	0	9.9990398231507E-9	2.0333331683318E-8	0	0	0	0	0	0	0	4.7758137963087E-8	0	0	3.6334688854119E-8	0
OM-RGC.v2.009597638	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0325696365429E-9	0	0	0	0	0	0	0	0	0	4.354042344807E-7	0	1.5007094984821E-8	0	0	0	0	0	0	8.5313502761574E-9
OM-RGC.v2.009641598	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Roseovarius sp. A-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7492405527933E-8	0	0	0	0	0	0	4.6902363108701E-9	0	0	0	0	0	0	8.2098710572703E-9	0	0	7.0154611185749E-9	0	0	0	9.2910517983862E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0494797340384E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2736004582974E-8	0	4.0279203940017E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.010526765	Biota; Bacteria; Proteobacteria	0	0	0	0	0	5.771687091542E-9	0	0	2.1195850515606E-9	0	0	0	0	5.7200757981385E-8	3.2973569517567E-8	0	0	0	1.2362244113232E-8	0	0	0	0	6.8695208467974E-8	5.2959812304666E-9	7.4597071953806E-8	0	1.0381143312022E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7538710931419E-9	0	0	0	0	1.2455223680689E-8	0	0	0	0	0	0	0	0	9.2053167459017E-9	0	0	0	0	0	0	0	0	0	1.1050371249988E-8	0	0	0	0	0	0	1.1981954614177E-8	1.6964107727967E-8	0	1.3414493525617E-8	0	0	0	0	0	0	0	0	0	0	1.1776686060571E-8	1.0627174249503E-8	0	2.4232184308941E-7	6.4722828896086E-9	8.2330343843549E-9	1.5768586685611E-8	0	0	0	0	0	0	1.6471881807622E-8	4.0333066613228E-8	0	1.217770435088E-8	0	0	0	0	0	0	0	0	3.1193869378753E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012845719	Biota; Bacteria; Proteobacteria; Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0582372490069E-8	2.4131099724783E-8	0	0	5.096622697655E-9	3.3426571081454E-9	0	1.623380127298E-8	0	4.1118458870438E-7	9.0611704296358E-9	0	1.4934251639255E-7	0	0	0
OM-RGC.v2.012982376	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8367441585779E-9	0	0	0	0	0	0	0	2.7461989109753E-8	0	1.9946784312829E-8	0	4.0500979778195E-9	0	4.7523643926591E-7	0	0	0	0	0	4.7081002373052E-8	0	4.2968563926866E-8	3.9991938053564E-7	0	0	0	0	0	0	0	0	0	0	0	1.996003099855E-7	6.2012797754373E-7	8.2540558498416E-8	0	3.4558692448749E-8	0	0	0	0	6.8189204393197E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4791047000654E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	2.985081472939E-8	0	0	0	0	0	0	0	0	0	0	0	0	1.2851510274649E-8	0	0	0	0	1.2063668613559E-8	0	0	0	0	5.5174311546564E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013096982	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodovulum; Rhodovulum sp. ES.010	0	0	0	0	3.5792965052231E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.872725852342E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1501922624244E-8	0	6.1419372589697E-9	1.6446325791002E-8	8.4143557722054E-9	1.3088193650479E-8	3.5936933065422E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4600586943395E-8	0	0	5.4480994472402E-9	0	0	1.2740159433676E-8	0	0	5.4258895069909E-9	0	0	0	0	0	0	0	1.7257270562017E-8	0	0	0	0	0	2.1922000382821E-8	0	0	0	0	8.0312032719837E-9	0	1.807965382072E-8	0	0	0	1.2382655530385E-8	0	0	2.9463258188532E-9	0	5.6428116473384E-9	8.1030916317913E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013341187	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5383923252529E-8	0	7.8671291625677E-8	1.2052349049537E-7	3.5883786509766E-9	4.9585378745912E-8	0	7.9870716299018E-9	1.5607907653872E-8	0	7.7062605988954E-9	0	1.2140365977236E-8	1.1646014725677E-8	4.4911636813871E-8	0	3.6249934287654E-8	0	0	2.8303730378304E-8	0	0	0	0	0	8.5152389086863E-8	0	5.7629040744049E-8	0	3.1276232595713E-8	1.0294387361075E-8	5.6346333925363E-8	4.9042987263282E-8	1.6820688676703E-8	0	7.4013959242077E-10	2.2257485384828E-8	5.4203093803995E-9	0	0	0	0	7.7476195110874E-9	0	0	1.3092037737238E-8	6.7235447077789E-9	1.1118211026683E-8	0	0	1.0808330851677E-8	0	0	0	2.9312428297701E-8	0	0	4.0759534767058E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013640288	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9685851462963E-9	0	6.6387177898607E-8	1.0969944592141E-7	0	0	2.0051505309048E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1641514638944E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4988600950469E-9	0	0	9.3273359965885E-9	0	0	0	0	0	0	0	0	0	0	0	0	1.3455942167763E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.015610390	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.919173652151E-9	4.0845923323205E-8	0	0	1.38468432182E-8	0	0	0	0	7.6113744691478E-9	0	3.1571391560935E-8	0	3.6182814236347E-9	0	0	0	0	0	4.1200927397939E-8	0	0	3.8137939661055E-8	0	0	0	0	6.2456083556484E-8	0	8.303478285619E-8	0	8.4361538765996E-9	1.5148921852828E-8	1.1950469232063E-8	8.9930459231259E-7	9.3429965607929E-7	6.2747462864388E-8	1.8687689088544E-7	2.3167134619921E-7	0	0	0	0	2.3392260699966E-8	0	2.4426762396847E-7	0	0	0	1.257421719039E-8	7.3867342268938E-8	0	0	0	8.0523093748511E-10	0	0	3.7728885617311E-8	0	0	3.9053714128524E-8	0	0	0	0	1.3490110264263E-8	7.1264050634446E-8	0	1.1627916089512E-7	7.0308973654515E-7	0	6.2634619071667E-8	4.1874031523362E-7	0	1.8741150120416E-8	0	1.016549257742E-8	1.3091049428357E-8	2.7577615176836E-8	0	0	0	6.7429441134501E-9	3.1996599670607E-7	0	0	5.8710801835465E-7	0	1.7041768556432E-8	1.7833318301296E-7	0	0	2.0609008039907E-8	0	0	1.4958760813466E-8	0	1.5378133619451E-8	0	5.6855012422338E-8	5.4125878393069E-8	0	0	3.810850598881E-8	5.5746312661156E-8	0	0	0	0	3.3339634443558E-8	1.9955396683854E-8	0	1.3135589995498E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.018343452	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6793638384327E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5178085439223E-9	0	0	1.4798196109789E-8	0	0	0	0	0	2.2582568518849E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2101645483686E-8	0	0	0	0	0	0	0	0	0	0	1.141138495551E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4401806698444E-8	0	0	0	0	0	0	0	0	0	0	0	2.4203601465846E-8	0	1.1016405807468E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.018355231	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	0	0	0	0	8.6641701118306E-9	0	9.9583755165555E-9	0	0	0	0	0	0	0	0	0	0	0	5.8545255185818E-9	0	0	0	2.5903563854293E-8	0	8.0831653448914E-9	0	0	3.2813556792622E-9	0	0	1.2345874318859E-6	0	0	0	0	0	5.2375596878362E-7	0	5.0771113668117E-8	1.500942904835E-6	0	0	0	0	0	0	4.8744229320621E-8	0	0	0	0	2.803940022188E-8	6.5040656721866E-8	0	0	8.9309608680592E-8	0	0	0	0	0	0	0	0	0	1.1784792153981E-8	0	2.7735861012732E-8	0	0	0	0	0	6.8813410619368E-9	8.0870824490568E-9	0	1.2004857304203E-8	6.4137019235724E-8	0	0	1.4714903879512E-7	0	1.1870660447718E-8	2.4158622073497E-7	0	4.3290921214237E-8	6.1689680123649E-7	0	6.7988878012054E-8	2.793086319702E-7	0	5.804550662294E-8	0	1.0488630359158E-8	0	3.8380475007264E-8	0	0	0	4.8658054448495E-9	8.4203999025733E-8	0	0	7.740461406153E-8	0	0	0	0	6.2248559233287E-9	0	0	0	0	3.0143193540965E-7	6.1997561969404E-7	0	1.2614835896875E-6	7.0478930635735E-7	0	0	4.9378160916246E-7	8.6961878491551E-7	0	0	0	9.7610053047749E-8	4.7622004883948E-7	5.7570248492109E-8	1.020906749841E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0870565858963E-9	0	1.2014797365229E-8	0	0
OM-RGC.v2.019234985	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Bathymodiolus platifrons methanotrophic gill symbiont	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5833082236793E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.019828861	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3292302883846E-8	0	7.2746635905659E-8	5.3223310932425E-7	9.5261279090379E-8	0	0	0	1.7508541551098E-8	1.5151017998555E-7	2.109753594927E-8	1.2541863971786E-9	0	0	0	0	0	0	0	1.5238684528563E-8	3.6702720473981E-8	0	0	0	0	0	0	0	4.3889025758463E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.020486227	Biota; Bacteria; Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5675262712472E-7	0	0	0	0	0	3.2081837158372E-8	0	0	4.2080846443704E-8	0	0	0	0	4.8146109766121E-9	0	0	0	0	3.0924266926253E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6387281434764E-8	0	0	1.384725276172E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.021506277	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1570364873433E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.021723329	Biota; Bacteria	0	0	0	0	0	0	0	0	0	6.9298648930218E-8	1.7253439886568E-8	2.1535973438063E-7	1.8827770658512E-8	0	1.9860638197476E-8	0	0	4.7017091284151E-8	0	4.3400598007763E-8	1.2762747881866E-7	0	0	2.6410763425868E-7	4.7446345686305E-8	2.3460703844326E-7	6.8385867911188E-7	3.5979902466695E-7	0	1.3723536998103E-7	2.1017090178816E-8	2.2440703504535E-7	2.0649557564369E-7	7.7306458396288E-8	9.8341486633511E-8	1.111171435557E-7	2.7272605402233E-8	2.369738170625E-7	1.2990861667691E-8	0	3.3357274163819E-8	0	0	0	0	0	0	0	8.4000230917803E-9	8.1345613378483E-8	2.0476891873711E-7	8.3782609987002E-8	0	1.8791720189993E-7	0	0	5.2696276909296E-8	0	0	0	0	0	0	0	0	2.8391994725405E-8	0	0	4.3957925136944E-7	0	0	0	2.9004612026611E-8	0	0	0	4.3778975037772E-9	0	1.2774171511641E-8	0	1.960097946424E-8	4.7460907124442E-8	0	0	6.5446047940119E-8	1.0667036505623E-9	0	4.457650554612E-7	0	0	0	0	0	0	1.4793631939857E-8	0	6.8552266854562E-9	2.6534276724362E-8	0	0	0	1.6153262473647E-7	0	0	0	0	6.8508779017488E-9	4.4537513917245E-8	0	0	2.0152577852699E-8	7.9108144149553E-8	7.2328147001287E-9	1.1753108625928E-8	0	1.5840463136704E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.023219433	Biota; Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium; Microbacterium ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.313448006283E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6339093259945E-7	2.9672891821993E-7	0	9.9629883302622E-8	1.4674238750223E-8	1.196676708975E-8	0	0	4.5206397696915E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2477406122654E-8	0	0	0	0	0	1.1229920242411E-8	0	0	5.2140340920013E-8	0	0	1.2420374749395E-7	0	0	0	0	0	0	0	0	0	9.9338389668252E-9	0	0	0	8.178735010879E-8	0	4.3146478004821E-9	2.3729297760216E-8	0	2.8376996834779E-8	3.0397718889503E-8	0	0	0	0	9.5204690981913E-8	0	0	2.0411413841834E-8	0	0	0	5.8041215845484E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.023407568	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0594728795512E-7	0	3.4704520907829E-7	0	0	1.3787487242509E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.023725079	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1246652303976E-8	1.3421193322417E-7	5.5934239025537E-7	0	1.7103796561323E-8	7.3264999978898E-9	4.4375042329662E-9	0	0	0	4.0748682810469E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2838584357506E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4702324322941E-8	0	0	0	9.400292742215E-8	1.1297448610862E-8	0	1.5931397677756E-7	1.6858649855768E-7	0	6.9974635867944E-8	4.57268378186E-9	4.7000016728508E-8	6.7903920680828E-8	1.4104576453707E-8	0	1.7794574937125E-7	0	0	1.6113410711064E-8	0	0	5.2944310199728E-8	0	0	0	3.5656410595063E-8	0	6.2481917385789E-9	1.3363203886125E-7	7.4442605853106E-8	0	0	0	0	0	0	0	0	1.710077946368E-8	0	0	2.4706832734646E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.025170308	Biota; Bacteria; Proteobacteria; Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7805566562054E-9	2.3458078291096E-8	0	1.761156539689E-8	0	0	0	1.9201764310222E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5408173014573E-8	0	0	1.2295448209481E-8	0	1.1144122423482E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
