		TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_173_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_201_MES_0.22-3	TARA_205_MES_0.22-3	TARA_209_MES_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
OM-RGC.v2.001295048	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1757304070201E-9	0	4.1773333929889E-9	0	0
OM-RGC.v2.001352374	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8859930086115E-10	0	0	0	0	0	0	0	0	0	0	5.644372574547E-9	0	3.3883034359777E-8	3.7363997875454E-8	2.0171658752112E-8	0	0	0	0	0	0	0	0	3.634518788193E-8	1.6958345175628E-8	2.3154349006228E-9	0	1.4516030437586E-8	3.6592523215237E-8	0	0	4.1948631751298E-9	0	8.452749436947E-9	0	9.0091816364518E-9	0	0	1.3670285169501E-8	0	0	1.8607010244849E-8	0	3.2405760006721E-9	3.8968493616298E-8	0	4.4931561366747E-9	1.019128573957E-7	0	1.2444752583013E-8	0	3.8816863780274E-9	6.4344973134993E-9	7.8734939576049E-9	3.0299450348598E-9	0	0	1.0013066743921E-9	3.37371848454E-9	0	0	8.9692576025502E-8	0	3.3586516907393E-9	6.5062011056838E-8	0	3.3910846725254E-9	1.668657382312E-8	9.4493965216996E-9	0	0	3.0823200087472E-8	2.0614830555927E-8	0	2.9725177989091E-8	0	1.6571583186281E-8	0	2.5316047482164E-9	3.3603603090385E-8	4.9689394694346E-9	0	0	0	0	0	4.1207319446333E-8	8.4122434085538E-9	0	0	0	0	4.4663169064589E-9	0	0	0
OM-RGC.v2.001653552	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Chryseobacterium	0	4.5331394404354E-8	1.0833253203896E-8	7.3921556866141E-8	0	0	0	1.4743411405009E-8	0	0	1.3981685189748E-8	2.3258188631875E-8	1.3161599575264E-8	2.1403721113123E-8	3.1837838448025E-8	1.6435520960819E-8	3.0072842890933E-9	1.1202023475961E-8	1.3654327849183E-7	0	3.8201213886792E-9	0	0	0	2.6023350041516E-8	6.627068313321E-9	2.0947686069963E-8	5.9581421687259E-9	0	0	0	0	8.0281373868584E-9	0	0	2.59875125706E-9	1.7470268538984E-8	0	0	1.4369230610686E-8	4.0591885958745E-8	0	0	4.6721398849149E-8	3.2776031717164E-9	6.1124894009693E-9	0	0	0	0	5.563638303274E-9	8.2281191065257E-9	4.8978405223123E-9	0	0	5.6677980743256E-9	2.2836853788123E-9	0	0	0	7.320885570882E-9	0	8.7032816892417E-9	4.2352958105172E-9	0	2.0216361783599E-8	0	0	4.045181013759E-9	8.1621313990342E-9	4.0440194071364E-8	1.0165506259125E-8	0	0	5.7696545807987E-9	0	1.7422440251164E-8	0	3.1926703103101E-8	4.1194787560181E-9	6.4864065729256E-8	1.7248172479393E-8	2.7785302236472E-8	9.0134270421875E-9	6.3166203944827E-8	1.0948482933353E-8	0	4.8230097384867E-9	0	0	1.5059003764295E-7	4.2194653603857E-9	5.3991097294265E-9	4.9912216483559E-8	2.0105122802781E-8	0	6.1724065578056E-8	2.189494039108E-8	1.1509156229451E-7	2.0951579157756E-8	1.2171398984716E-7	5.6941769773965E-9	1.5482416103025E-7	3.1013388047291E-9	5.2788366149081E-9	1.7180637563405E-7	1.5196863184152E-7	9.3065116012697E-9	4.7790356112206E-9	4.0113300148409E-9	5.1762556502456E-8	2.6771365024863E-9	1.6613263560916E-7	1.4555853641888E-8	1.0005829174275E-8	4.017868106393E-9	5.7131154769006E-9	0	0	6.738266838067E-9	5.5568714085803E-9	2.6517079970241E-9
OM-RGC.v2.002268376	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae	1.034096385761E-8	4.8010086535842E-8	1.5230255337654E-7	4.7161832164512E-8	0	0	0	0	0	0	0	1.0008274836952E-8	0	1.7829507490354E-9	1.0015238557067E-7	3.8805597598209E-9	0	0	0	0	0	1.3624949221474E-9	4.8743468870219E-9	0	1.7271088711977E-8	0	0	0	2.068428762764E-9	0	3.2498656808809E-8	3.5341209715551E-8	4.479880342743E-8	4.4065817693423E-7	0	5.5214495808834E-8	2.1393238113446E-8	0	6.1048934268376E-9	1.0478067111277E-8	0	0	2.110019175897E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8626464481279E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1796077550967E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.002510183	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5996404233943E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.002615206	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas; Halomonas daqingensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5974212853049E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3280829028949E-9	0	0	0	2.9918091214908E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.007492231	Biota; Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4714443988597E-9	7.1431228339163E-9	4.3697195853506E-9	0	3.3322219409287E-7	2.8152356386647E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9652629271605E-8	0	0	0	0	0	5.2680828037904E-9	0	0	0	0	0	0	0	0	0	0	1.9018368361264E-8	0	0	0	0	0	0	0	0	8.5145793305359E-9	0	3.1560232568311E-9	0	0	0	1.3489188577949E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000062106	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000648122	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Croceicoccus; Croceicoccus naphthovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000683776	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio parahaemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003244479	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
