		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
OM-RGC.v2.010702468	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8903472450557E-9	5.3515448118601E-8	4.4530743525541E-8	0	2.0497498547235E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4802204423062E-8	0	1.1976269948893E-8	5.0432318353171E-8	0	9.5556192225968E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0236012350704E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9894414735273E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011307738	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	8.8140100914118E-9	0	0	0	1.5120697855988E-7	6.803689822192E-8	1.6620091913178E-7	0	0	0	0	1.0185889819581E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4602295095692E-8	2.0597784873116E-8	2.2078933775866E-7	0	3.6781663067752E-7	2.1691891994019E-8	0	2.3953022742639E-8	0	0	5.081839981027E-8	6.5823742484547E-8	8.9152559039246E-8	0	4.5086396504769E-9	0	5.274057278733E-8	0	0	0	0	0	1.0789020985573E-8	4.1185018822629E-8	2.5170989491024E-7	0	3.556211483965E-7	0	0	0	0	0	0	0	0	0	0	0	1.554729062198E-9	0	0	0	0	0	0	2.459692300232E-8	0	0	1.1270832832199E-8	0	0	5.8701028013703E-9	1.0545752356342E-8	0	2.1182357855206E-8	0	0	0	0	0	5.0738025386325E-9	0	9.9320267705866E-9	0	0	0	4.7434112109587E-8	0	0	1.8531686715538E-8	1.0641864056517E-6	0	0	0	3.8761054041875E-8	0	0	0	0	1.8810333438945E-8	0	0	0	1.0269492627666E-8	7.9937200129584E-8	0	0	0	6.3084183722371E-7	0	0	0	7.1754285482206E-9	2.3313883745594E-8	0	0	0	0	0	0	0	0	2.4521258814326E-8	0	9.3207107451828E-9	0	0	0	1.9193610642051E-8	0	0	0	0	1.7673978261332E-8	0	0	0	4.7623832830398E-8	0	0	0	0	0	1.2449508049569E-8	0	0	0	0	0	0	0	2.4611116219169E-8	0	1.1150109015904E-8	0	3.2790837540435E-8	0	0	0	0	1.0853624272771E-7	0
OM-RGC.v2.011351628	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3722426723817E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0628816722804E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9775247550717E-7	0	8.9205870383806E-7	0	0	0	0	4.5062377198238E-8	0	0	0	2.7609192403278E-7	0	0	0	0	0	3.2975265388476E-7	0	0	0	0	0	0	0	1.2305558109559E-8	0	0	0	0	0	0	0	0	8.0353451339039E-9	0
OM-RGC.v2.011380839	Biota; Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; unclassified Planctomycetales (miscellaneous); Planctomycetales bacterium 4572_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1232945608895E-7	0	2.2077579337865E-7	0	0	1.632084066438E-7	0	0	0	0	0	0	0	0	4.1201990588171E-8	0	0	0	0	0	1.5171706242432E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5159853795787E-9	0	0	0	0	0	0	0	0	0	0	0	0	3.9044797544964E-9	0	0	0	8.649070562157E-9	0	0	4.9382328173068E-9	0	0	6.7137486398925E-8	0	0	0	0	0	6.5464841566522E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9927837015081E-9	0	0	2.0728458264949E-8	0	9.9481718872292E-8	6.8795127101031E-8	0	0	1.5665053869341E-8	0	0	0	0	0	0	0	0	2.4247631262752E-8	0	0	7.2029206116363E-9	1.3520328936117E-8	0	0	0	0	0	6.7193277073648E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011453576	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2961989590689E-9	0	0	4.0478664252919E-8	6.6948358303275E-9	0	0	0	3.6680602900796E-8	1.955937775328E-8	0	0	3.5706306611996E-9	0	0	0	1.1303124780354E-8	0	0	6.0903601024859E-7	0	2.6757254102243E-8	1.8331114013174E-8	2.4682154138555E-8	1.2682523394918E-8	0	3.1988744621016E-8	1.1007347833811E-8	0	0	0
OM-RGC.v2.011612469	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0120253155574E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.015355504	Biota; Bacteria	1.0696369617727E-8	0	0	0	0	0	1.144425647281E-8	9.0289271350128E-9	0	0	0	1.0935457889441E-8	0	0	7.0030418775722E-8	5.658942010833E-9	4.381859643101E-8	1.5564290411005E-8	8.4637530706425E-9	2.3705765837581E-8	0	0	5.5565036111116E-8	0	7.1755655372784E-9	1.9644958852234E-8	0	6.6894125155087E-8	1.1737669155554E-7	1.8050406760288E-8	2.5667286944674E-8	8.926999746211E-8	1.782220429944E-8	0	1.4172220732612E-8	0	2.1191429832485E-8	1.0222292070417E-8	1.5559380752293E-8	6.5933194606879E-9	5.7472033966852E-9	0	7.7079053091126E-9	0	0	0	0	5.975102676728E-9	0	0	0	9.6480371084784E-9	8.2056338127652E-8	0	3.2658609624843E-9	5.9221214194311E-9	1.7966353027885E-8	0	1.9805780972037E-7	5.7367714193077E-9	4.2225729094089E-9	4.3793048985374E-8	0	0	0	0	0	0	0	0	2.9642412747699E-8	0	1.8935189834825E-8	0	0	0	0	0	2.4465453927704E-8	0	0	0	3.6642171759263E-8	0	4.1565885741416E-8	1.8448383844528E-8	0	6.0436890444818E-8	0	0	9.6807001743932E-9	0	0	3.4679390489542E-8	0	1.1816322356645E-8	5.4426645323247E-8	0	0	1.0075132643375E-8	3.3016494209259E-8	0	5.0424622520181E-8	0	4.7902383457494E-8	0	0	1.9026790653275E-8	0	0	0	0	0	9.5530055892238E-8	0	0	1.2957361167491E-8	0	0	1.0870940565879E-8	0	6.5473914298245E-9	0	0	0	0	0	0	0	0	5.7985632082793E-9	3.1206574444883E-8	0	8.6758178966078E-9	0	0	1.9317331197044E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.019183245	Biota; Bacteria	0	0	0	5.5269720452457E-8	0	9.7322161761652E-8	0	0	0	3.0101518277148E-8	0	1.4985736970009E-8	2.344520608055E-8	3.2396004980958E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.021324029	Biota; Bacteria	2.0716130351273E-8	1.1957009074263E-8	0	0	1.3791070552546E-8	0	9.1687873314815E-9	0	1.5226384463126E-8	0	9.6829506957562E-9	2.1150082673978E-8	1.0068092648876E-9	9.7719250843913E-9	0	0	0	0	0	0	0	0	9.7959797302518E-9	0	8.4248661277346E-9	0	0	1.3328021176019E-8	1.7149761125694E-8	0	3.0130847098311E-10	0	0	1.7907680553473E-8	2.8365538736634E-9	0	0	0	0	0	0	0	5.576201147908E-8	2.5769908259539E-8	2.0168352125444E-9	0	3.7039397768151E-8	2.3306215740107E-8	0	0	3.2812585193964E-9	2.8319517330023E-9	0	1.912564543807E-7	8.5163116899804E-8	1.4175290631617E-8	2.1502284208925E-8	0	1.1458582555868E-7	7.1139497480426E-8	0	3.4388831460851E-8	9.6797903043959E-9	1.1152041832616E-8	1.1169714927309E-8	1.7934275682E-8	0	9.3660606537892E-10	0	0	3.0284747636228E-8	8.486072646565E-8	1.4695481201209E-7	1.415823378737E-8	7.5453875338782E-8	4.2915481695785E-8	2.8098577752688E-8	3.2590604206067E-8	0	9.6409565850382E-9	0	0	6.0322865997037E-8	0	2.7813962343673E-7	1.2300380385876E-8	6.1429433629003E-8	8.3771417919907E-8	3.4327012944216E-8	3.4904993578064E-8	1.3985998185882E-8	3.1254766128538E-8	0	2.974688642514E-8	1.6889104402748E-8	1.8146334709024E-8	3.8386633061478E-8	2.0692256074321E-8	2.5751386089337E-8	5.6660317032833E-8	5.3639231456586E-8	6.7392253794144E-8	1.0384713072055E-7	1.7501331456475E-8	2.2812259295431E-8	1.2695681672563E-8	6.4092939171473E-9	0	0	0	9.5094313290491E-10	0	2.0265524057475E-8	9.4875532553498E-8	2.1389664502479E-8	0	5.3405862660516E-8	2.3598273132924E-8	0	0	1.5490806071785E-9	2.7425908249974E-8	1.3255084837869E-8	0	5.5607999618377E-9	0	0	9.8977605908055E-9	0	0	1.0177446259931E-8	1.3705795920558E-8	2.2758436634838E-8	1.274604578269E-8	4.7389465310361E-9	0	0	1.3669297466696E-8	7.7905227898653E-9	1.2015297053384E-9	0	0	0	0	0	0	0	0	1.3120817987856E-9	0	4.0705516812551E-9	2.3590281304999E-9	0	0	0	0	0	0	2.4883708328009E-9	0	0	0	0	2.8213396840281E-9	1.1093972888283E-8	0	4.4249015591257E-9	1.8580383966694E-9	1.8865436783548E-9	1.8351986626282E-9	3.2718552935847E-9	0	0	0	0	0	0
OM-RGC.v2.027648718	Biota; Bacteria	0	1.3664056283165E-8	2.3179363152501E-8	4.0054445038449E-9	0	0	4.0540970269909E-8	0	0	0	2.8419294141394E-8	2.2176236005931E-8	0	0	8.9036079759814E-8	0	3.0733079869662E-8	0	1.7163815862932E-8	9.9008180215798E-9	0	0	0	0	4.7106679452823E-8	1.4478097649795E-8	0	3.1053282032334E-8	5.3353803009829E-8	0	0	5.7122027769414E-8	2.5337721118198E-8	0	1.3431679799607E-8	0	1.3512160932858E-8	1.9063207266366E-8	3.0536612485202E-8	0	1.1654869890871E-8	0	5.3883803892866E-8	0	0	0	0	1.2117031445624E-8	0	1.5096479647665E-8	0	0	0	0	6.6229054328856E-9	0	2.4817446508483E-8	0	4.173868413048E-8	0	0	0	0	0	0	0	0	0	0	0	6.0408422120849E-9	0	0	0	0	0	0	0	3.8631672240502E-8	0	0	3.9511621808431E-8	5.6141128253216E-8	0	3.7434893675784E-8	7.3179478245078E-9	3.513077518876E-8	2.7601999447754E-8	0	0	1.6501845569892E-8	0	0	5.484827464409E-8	0	0	5.7932303585076E-8	0	1.0536165607581E-8	0	1.6613768999357E-8	0	0	4.9829740286163E-8	2.5422398298842E-8	0	0	9.4586577240949E-9	0	0	0	0	0	4.9792981809354E-8	0	0	0	1.2224348428302E-8	0	0	0	0	0	0	0	0	7.7505106880792E-9	0	0	0	1.4661182485434E-8	1.6308162234587E-8	0	5.2480620055731E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.031637621	Biota; Bacteria	3.8877717323824E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4376181949822E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6367397602277E-8	6.4017827924725E-8	0	0	0	0	0	0	2.8086840209031E-8	0	0	0	0	0	0	0	0	0	0	1.9789039723185E-8	0	0	1.8137373291328E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5116414609327E-8	0	0	0	0	0	0	0	0	0	1.8330408759762E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1721781064614E-8	0	1.5800073418706E-7
OM-RGC.v2.011262189	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
