		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3
OM-RGC.v2.011117187	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0287849505334E-8	0	0	0	0	0	6.1761825545242E-9	0	0	9.886673046646E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1943515138753E-9	0	4.9890753313542E-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36699010499E-8	0	0	0	0	0	0	0	0	1.574356218391E-8	0	0	1.0070729281255E-8	0	0	0	8.6743807835295E-9	0	4.152069568956E-9	0	0	0	0	1.942866430041E-8	0	0	9.925480549819E-9	0	0	0	0	0	0	0	0	0	0	0	0	1.5179297604036E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3681832166827E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011471838	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0075758202794E-8	0	1.241976900502E-6	0	8.8543694453284E-7	0	0	1.0900950691645E-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011490205	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4897083835342E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011522696	Biota; 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7862487538608E-8	0	1.2560511626368E-8	0	0	7.0113278890391E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.540593305052E-9	0	0	0	0	0	0	0	0	0	0	2.2806255173768E-8	0	0	8.9230068368661E-10	0	0	0	0	0	2.3876130023668E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4505749784386E-8	6.6747832268024E-7	0	0	5.7011212389509E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011776550	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2996772352832E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011859916	Biota; Bacteria	3.424967287965E-8	0	0	3.7967624573365E-8	0	4.0732479213872E-9	0	1.8038686900114E-8	4.5102942264568E-9	0	0	9.4435533676225E-9	0	1.2270631417432E-8	4.6761734284381E-9	0	2.4663511760298E-8	6.8049762423687E-8	2.468255903691E-8	0	1.4803037333993E-7	0	1.5508050869696E-7	1.3819566344415E-7	0	3.2596686907488E-7	1.8422811759412E-8	8.4531759807591E-8	9.8834734347961E-9	6.9773061094245E-8	1.1103554781556E-8	8.1074471075985E-8	2.8483125472494E-8	5.4342454032018E-9	1.6853010594953E-8	1.40678031354E-8	3.6306064906215E-8	5.1690594365665E-8	6.1222464980823E-9	0	4.181380339939E-8	1.8118457585026E-8	0	1.9257909421181E-8	5.4401615472072E-8	4.0626476714622E-8	0	0	0	0	0	0	0	2.9991207148319E-8	2.0766845977151E-8	0	0	0	0	0	0	0	0	0	0	0	0	9.2857559414077E-9	0	0	0	0	0	0	0	1.3616934491515E-8	0	0	1.1598339465206E-8	8.0554922832421E-9	3.559747561335E-8	2.358605181024E-8	0	1.5304162428537E-8	4.6881746680105E-8	0	9.7406088805307E-8	4.8272361952787E-9	0	7.8059352375091E-9	0	0	0	0	0	0	0	1.0218669545744E-8	0	1.119511170517E-8	0	2.0126298499084E-8	1.2852540288349E-8	0	1.7761060289891E-8	0	1.7452485886897E-8	0	0	0	0	0	4.3034022814358E-8	5.846223503876E-9	0	1.1388305713615E-8	1.4449272450932E-8	7.0353883805213E-8	1.7496746992341E-8	0	3.7110931972362E-8	0	6.7470065748021E-9	0	1.3554455265289E-8	5.8335589210717E-9	0	0	4.2908963358333E-8	7.6237885612792E-8	3.7392195261094E-8	9.871791807826E-8	1.1293295298911E-7	0	2.3921588986351E-8	4.8163633996483E-8	0	3.000669348213E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011899398	Biota; Bacteria	0	0	0	0	0	0	0	5.8441125980513E-8	0	0	0	0	5.5827014815299E-9	2.4367211325508E-9	1.1013435328513E-7	0	8.5696500564076E-8	4.3964734150135E-8	0	0	1.0667559533939E-7	0	9.2833879138648E-8	1.3450246044852E-7	0	1.3451512811922E-7	8.0701697530124E-9	5.1649461895601E-8	8.6868197005369E-9	0	0	0	0	0	0	0	1.7948491242362E-8	0	0	0	5.5714594802732E-9	9.0117982752685E-9	0	2.6201237307712E-8	0	0	0	0	0	0	0	4.1273395789675E-8	1.7935763591416E-8	1.3224487972038E-8	1.1350063901073E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0317446518574E-8	0	0	4.7142910411285E-8	0	0	0	0	3.0509588325303E-8	0	0	0	0	0	0	0	0	0	0	0	6.5256924147238E-8	0	3.3641983504551E-8	3.9396146058541E-8	7.455468007917E-8	0	9.8801828995504E-8	3.0557570277423E-8	0	0	0	0	7.5782277063016E-8	0	2.0554554645482E-8	0	0	2.6902247855007E-8	4.1041670052478E-8	0	1.2887378608585E-7	2.5514854517806E-8	4.633060640832E-8	3.5053209844709E-8	0	1.726362974663E-8	0	1.2083275411224E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011950063	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter	0	0	1.9280647813793E-8	0	0	0	0	0	0	0	0	0	0	0	0	8.2692041562935E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8286097722277E-8	0	0	0	0	0	2.1327782584968E-8	0	3.0571559044891E-8	0	0	1.573687644314E-8	0	2.2353510030373E-8	8.7324151285728E-8	0	4.3883655284125E-7	5.0298294950182E-8	3.1523664184789E-7	0	0	0	0	1.2434501977616E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3804146547033E-8	1.2806846655536E-8	0	2.090552829907E-8	0	0	0	0	0	0	0	0	0	0	1.2515615382034E-8	0	0	2.1420680060461E-8	0	0	0	0	0	0	0	1.6847084205913E-8	3.6068562141967E-9	1.1690257777633E-8	0	0	2.614770948621E-8	0	2.7291451560726E-8	7.1848180756947E-9	0	0	0	0	5.7950826781622E-9	0	1.8787576604458E-7	1.8690801535738E-7	1.1163710416158E-5	0	2.2254837397839E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3010033797957E-9	0	0	0	0	0
OM-RGC.v2.012027885	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3684109839403E-8	0	5.7066910216946E-9	0	0	0	0	0	0	0	1.1724913975259E-8	0	1.4153066284496E-8	0	0	0	0	9.6935633696387E-10	0	0	0	4.3206565010894E-9	0	0	5.9647012930429E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9309146629541E-8	0	8.9440163665897E-8	1.1160059935789E-8	4.0721848080236E-9	0	7.1286693284788E-9	0	0	0	7.252295999508E-8	0	0	0	7.9660305240746E-9	0	1.6749755185438E-8	0	0	0	0	9.0447247877706E-9	4.9785740224806E-9	1.2498177093535E-8	4.0830627867214E-7	0	1.2154846260462E-7	0	1.2102737803137E-7	0	0	1.3805362545443E-7	0	1.8837145843154E-7
OM-RGC.v2.012036907	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.960513729923E-8	0	2.2826764086867E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2958115456771E-8	0	0	0	3.4537973223395E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3309616255194E-8	0	0	0	4.7651660482774E-9	4.5552522075954E-9	0	0	6.1163942164336E-9	0	0	1.0009799203159E-8	0	0	2.355941117142E-8	0	0	0	0	7.245009141221E-9	4.4705562651155E-9	0	6.5302291028099E-8	0	1.0738347265952E-7	0	5.3647538707842E-8	0	0	3.9432204887023E-8	0	7.2173357797737E-8
OM-RGC.v2.012037376	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6935633696387E-10	0	0	0	0	0	0	5.0699960990956E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2246688877138E-8	0	4.0721848080236E-9	2.2515915459539E-8	1.25115420867E-8	0	0	0	0	0	1.0762857293241E-8	0	0	0	5.725681619511E-8	0	0	0	0	9.0447247877706E-9	0	5.7108458836193E-8	1.2747229871492E-7	0	2.3825852486886E-7	0	2.3680129817543E-7	0	0	2.2907974570206E-7	0	3.5707536319851E-7
OM-RGC.v2.012067984	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0976134784172E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012195687	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.885789756095E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2755078938328E-8	0	0	1.0451567692629E-7	0	1.438644338644E-7	0	1.7049040036994E-7	1.0079621845827E-8	0	0	0	0	0	1.0369287510338E-8	0	0	0	0	0	1.7388120978343E-8	1.1907656925023E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012259653	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Aequorivita; Aequorivita soesokkakensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.046895180801E-8	0	0	0	0	0	0	0	1.1931060795061E-8	1.5320258195961E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4023040852943E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2803362192648E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012321077	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	4.6983448693183E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3800940633721E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0508760639989E-9	0	0	0	2.8432029727521E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4829032520872E-8	0	1.4953000476206E-9	0	0	0	0	1.6188059680438E-8	1.4475226375571E-8	4.7892850733626E-9	1.1115313104718E-8	0	0	6.14972782675E-9	2.6033301284482E-8	0	0	0	0	0	2.1502300055959E-9	0	0	4.4533277826129E-9	0	0	0	4.1340571700847E-9	0	0	0	0	0	0
OM-RGC.v2.012388608	Biota; Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae; Cyclobacterium; Cyclobacterium lianum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4966483665379E-8	0	0	0	0	0	5.093739480399E-8	0	0	2.2666898552226E-8	0	0	0	0	0	0	0	0	0	8.7019021231683E-9	0	3.0876984797106E-9	0	1.5283934680199E-8	0	0	1.4751049315842E-8	0	0	7.3301167716724E-9	0	0	1.2904331508726E-8	0	0	0	6.3407182158763E-8	0	0	0	0	0	7.1043424083063E-9	0	8.2861146184008E-9	6.840118892135E-9	0	0	8.8036719727659E-9	1.1824493376774E-8	0	1.6813786893997E-8	2.8464364478523E-8	7.4303438415046E-9	0	3.0583522900543E-8	0	1.1017875107659E-7	4.9673595145944E-7	1.0833143033853E-8	1.2856713033458E-8	1.0478831685811E-7	0	1.0262574725804E-8	0	1.2279971535722E-9	0	0	3.0531649089349E-8	1.905402969448E-7	1.133275026476E-8	0	1.2650194627011E-8	0	8.0479717126818E-9	0	0	3.9072760705119E-8	5.3434035490012E-8	0	3.9751214262544E-9	1.5431835411675E-8	0	2.6116391378363E-9	0	7.2477448618179E-9	1.8054208949053E-8	7.8455306282965E-9	0	1.2386536373139E-8	0	7.4652107405441E-9	0	0	9.6343315077714E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012876359	Biota; Bacteria	2.1271497114499E-8	9.3268463156907E-8	0	1.4643340015179E-8	0	1.3966502778166E-7	8.2286716158716E-8	1.1526646314703E-8	3.5842338154356E-8	0	0	1.9210418322558E-7	3.1055169571697E-8	1.7537599900258E-7	1.4497102255663E-7	0	2.2448254946201E-8	1.7151443830439E-8	1.300888723176E-8	0	6.6521642609632E-8	0	4.3447174259311E-8	7.1628722297423E-8	0	7.4509756167883E-9	1.4047940726013E-7	2.4412571035606E-8	9.4043074800284E-8	1.1484134163842E-7	1.0241680585651E-7	1.1601500169496E-7	3.8190190473038E-7	3.370469213989E-8	9.4259373917956E-8	8.9789945649015E-8	1.7879895104632E-8	7.8516786016667E-8	1.3671109937118E-7	0	3.8228727761311E-7	4.6397071822166E-9	0	3.6127884938146E-8	0	1.6416778879381E-8	0	5.3467137093513E-8	0	2.1297408368573E-8	0	6.0282352429912E-8	1.905371091555E-8	1.0178739364395E-7	7.9110357754952E-8	3.541233912357E-8	0	9.151423437279E-8	3.5230172914777E-8	5.6227768744949E-9	7.4937493443607E-8	0	0	0	0	0	0	0	0	0	0	1.6838530664132E-7	0	6.1225094702936E-8	0	1.0627851310423E-8	0	0	0	0	0	5.4925503561736E-9	0	4.7932973875336E-8	2.0398630822047E-8	1.2051838225158E-8	0	7.8693083115235E-9	0	5.3442432092576E-9	5.1680090748553E-8	0	3.0869554539244E-7	0	0	1.2288411887627E-9	1.5973866985994E-8	0	0	0	0	5.2890001804454E-9	1.3375001275719E-8	5.0505453707616E-9	9.8673315165361E-8	0	2.0883062912165E-8	0	0	0	0	5.1799320720295E-9	2.9091757539248E-8	0	0	6.0094620551583E-8	0	5.5245167532785E-9	1.4261895159315E-7	0	1.3999571085501E-7	0	0	0	5.4503456411198E-8	1.7908551614654E-8	0	0	1.8225808229206E-8	2.0900371245398E-7	1.9927447263848E-7	2.4012657170104E-8	5.4305408881453E-8	0	5.6647705720317E-8	8.5274042060039E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012914441	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1723904734753E-8	0	0	0	0	6.6488478775545E-9	0	1.5679235302861E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6030769331509E-7	0	0	0	0	0	0	0	0	0	0	2.4697126126748E-8	6.6178636793528E-9	4.3483267076169E-8	1.6611882570364E-8	4.6000940216239E-8	4.6677441005306E-8	4.4414208603394E-8	1.0736854913636E-8	0	8.9599655354418E-9	0	0	0	2.4716476602802E-8	3.3269678888793E-8	0	2.3547728207014E-8	0	7.0310159978309E-8	0	0	1.0688486418476E-8	0	0	0	0	0	1.2805818703745E-8	0	1.2180835360978E-7	0	6.3224329840692E-8	0	1.0081285503093E-7	2.7705359785372E-8	5.902874777944E-8	0	1.1782059527746E-8	3.6450437083027E-8	0	2.8616602094834E-8	0	0	0	7.8209005713302E-9	0	0	0	9.5168615504793E-9	8.4541847285269E-8	0	0	5.249075321887E-8	0	0	0	3.3796656718735E-8	5.4029189617062E-9	0	0	2.4301077638912E-8	1.0607127820054E-8	1.2831076424808E-8	0	9.7408805168494E-9	0	0	1.1778860485992E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
