		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.000034904	Biota; Bacteria; Proteobacteria	0	0	0	0	5.6512809922241E-10	0	0	0	0	0	0	0	0	0	0	1.6899237965455E-8	0	0	5.378782709708E-9	0	0	0	1.4149478763497E-8	0	7.26827147548E-9	0	0	2.9590830401313E-9	0	0	1.1674820519478E-9	0	0	0	0	0	2.9114275130381E-8	0	0	0	0	0	1.9034203010468E-8	0	1.3996786643344E-9	1.4147837773375E-8	0	9.7672594572005E-10	2.9208360050255E-9	1.8932509571508E-9	0	2.4619283573779E-8	0	1.5939845008544E-8	0	0	1.6674212302551E-8	0	0	2.060103480701E-8	0	9.4361674216095E-9	1.1709248507747E-8	0	0	0	0	0	5.4236946433996E-9	0	8.0261309477198E-10	0	0	0	0	3.5030119599781E-8	0	0	0	3.4660058177594E-8	0	0	3.1307288380943E-8	0	0	3.2139160934339E-8	0	0	8.8041158502023E-9	0	0	3.4111275546737E-8	0	0	3.9109691805628E-8	0	0	5.3020877175997E-8	0	7.0540703638142E-7	1.9189788657096E-9	4.6645427511925E-8	0	3.4728308015178E-7	0	9.4819893770227E-10	0	1.3619137019466E-9	4.0279181106987E-8	0	0	1.6937288661136E-8	0	1.9614525873957E-8	1.0422119279113E-8	0	5.9598702903362E-9	1.3379610459643E-8	0	0	0	0	1.7204100446707E-8	1.6981706878557E-9	1.1820645364289E-8	4.3169529308978E-9	3.0636723670886E-8	0	0	6.5676503799614E-9	1.5324825374152E-8	0	0	0	1.7066047435276E-9	0	2.7156381059711E-8	1.4040126720536E-9	0	5.5921680395398E-10	1.1370323681346E-8	0	0	9.2747081950104E-9	0	1.2012916424714E-8	0	0	7.8101652521543E-10	0	0	3.092470518851E-9	0	0	4.6251035126409E-9	0	0	0	7.2808440653497E-10	0	0	7.6062591584773E-9	0	0	0	6.8014191761913E-10	0	0	0	2.0536488148126E-8	0	1.5274056547646E-8	0	2.6332238100912E-8	0	0	2.925691894121E-8	2.6608869715092E-10	3.1728453037855E-8	2.5034568871106E-9
OM-RGC.v2.000068086	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Alcanivorax sp. 43B_GOM-46m	5.8094033788232E-9	9.3934589733563E-9	8.1662261094685E-9	1.1722207965226E-8	1.9535123257848E-9	7.6457548181118E-9	2.6054855632324E-9	1.4010505352137E-9	0	2.8122423548237E-9	5.6292671197747E-9	0	0	0	3.8947390773305E-9	2.4192032175796E-8	9.854296360512E-10	3.5026228745487E-9	1.9608908261221E-7	1.3071757624466E-9	3.0245060349783E-9	0	3.4690018623788E-9	3.3365952757257E-9	4.8034085082883E-9	0	2.1040964623131E-8	7.6749215117419E-9	1.7656030722482E-8	1.8002035774194E-7	2.9627323029688E-8	1.7720498138566E-8	6.8123386772404E-9	1.8709351283689E-8	7.2899852726323E-9	1.0159104772895E-8	2.362916047945E-9	3.3120986192091E-9	3.3876889456698E-9	3.6316559766492E-9	7.947679668381E-9	3.3564083497163E-8	4.9981821074201E-8	6.6116229699191E-9	6.2128942495452E-9	2.0032537097884E-8	5.114896885326E-9	0	1.9642697663375E-9	3.3431291207806E-9	2.6591131461483E-8	2.5972321803256E-8	1.0340559125309E-8	5.5977508548024E-7	9.4455150940914E-9	4.4974099976668E-8	1.4950836503655E-7	4.7374235571306E-8	1.6585422590265E-7	4.2377926808244E-7	1.3079135185679E-7	9.134986336475E-9	2.3736782182281E-8	6.5528581922485E-8	3.9244534952702E-8	5.2386586444194E-9	5.6893499094286E-8	0	3.1126706888752E-9	4.3589836303597E-9	6.311282521618E-9	4.242546759825E-7	1.2011932103713E-6	2.5836636573729E-8	8.507051847979E-9	7.0793890287059E-8	3.9311427664583E-9	4.614863187915E-9	4.3650182637599E-7	1.1874227656173E-7	1.6201371464014E-7	3.7094852335827E-8	4.1188134550301E-7	3.3978516037645E-9	1.2874514618276E-7	7.6621536823412E-7	3.7440781053873E-8	2.847721321803E-8	8.7075268730716E-9	1.2807902065581E-8	0	1.3370524084044E-8	1.2542065124783E-8	4.1908579157775E-9	7.6308858189706E-8	3.6245396086644E-8	8.6958104217668E-8	2.1728622169246E-7	5.1356471367974E-8	1.3272593510532E-8	2.3310940009542E-8	6.1179366787971E-8	2.2983002497652E-8	2.0853495257535E-7	7.9537411152008E-8	1.2033886731648E-7	9.1515385472937E-9	3.2938690029335E-9	1.3748319934909E-7	1.6074167668278E-8	4.4187988545566E-9	3.7459692649924E-7	6.0762735355892E-9	2.2903599242578E-8	3.514672884846E-7	2.0727549379456E-9	2.5452618350718E-8	7.9169178666884E-8	1.5874578058456E-8	7.2404929256904E-9	1.6613003477394E-8	7.8005057205427E-9	7.0164181413109E-8	1.7713191750075E-8	1.0915206527017E-8	0	0	0	0	1.0861026789781E-9	0	1.1211516286329E-9	0	0	0	4.4940410538559E-10	0	0	4.7849015704105E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000071841	Biota; Bacteria; Cyanobacteria	0	0	0	0	1.5404488937626E-8	0	1.1618741431857E-9	2.5986559614669E-9	0	0	0	1.4063775505551E-9	0	0	0	1.8107320165632E-9	0	0	8.0040482331411E-9	0	0	0	0	0	0	0	0	0	1.2887509183136E-9	0	0	0	0	0	1.9306097430754E-8	0	0	0	0	0	0	0	0	1.8443452072664E-9	0	0	0	0	0	0	5.7117906712578E-9	0	0	0	0	6.3909042681973E-9	2.6327913340115E-9	0	0	0	0	9.2727986302827E-10	0	0	0	0	0	0	0	0	0	0	0	0	6.5848910333724E-9	0	0	0	0	0	0	0	0	1.8718322929022E-9	0	0	0	1.5034387347945E-9	0	0	2.4122169493087E-9	0	0	2.4603505553404E-8	2.6925950718126E-9	0	2.9729719001103E-7	3.0432772959051E-8	0	5.6081702885407E-9	0	3.4655979164836E-8	0	0	9.0665317749441E-10	0	0	0	0	0	1.3663696562999E-9	0	0	0	0	0	9.7733707223455E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.874535519905E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000078890	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.291699677928E-9	0	0	0	0	4.4141357409734E-8	0	0	0	4.7196842320182E-10	5.7770317204888E-9	5.304844020325E-7	0	0	2.9099210520184E-9	0	0	3.0020719731659E-9	2.1227711784941E-9	0	2.4802941775293E-9	0	9.8690526642695E-9	8.5162760607695E-8	3.6284312151902E-7	1.4583467588055E-8	0	2.601649401517E-8	0	0	2.0418129882679E-8	2.7651118946394E-8	8.7321232122128E-9	4.9004408990588E-9	1.6810634413283E-8	0	7.889709865832E-9	4.9596430748898E-8	1.7454635340601E-9	2.1391215431731E-9	1.9722820222142E-9	2.0406108695321E-9	1.7608324083276E-9	4.9486846956667E-10	0	2.2205519352708E-9	8.8923801840538E-8	1.3198299804362E-8	1.1880561586204E-8	0	1.6074767455705E-8	2.1916906544617E-8	2.4589574091464E-9	4.45635101405E-8	1.0014697494453E-8	6.9380477954684E-8	9.4074672780706E-9	2.0184063511351E-8	6.4594406072225E-9	3.3933288015412E-9	6.7826086133438E-9	9.6462532713324E-9	2.7358070849637E-8	8.1413857112838E-7	7.3563327981028E-8	0	9.5156703893751E-9	1.810104094066E-9	4.8489906908046E-8	1.1617963382355E-6	5.5334539177793E-8	4.6477146724779E-8	0	3.8127826880844E-8	9.9164346076683E-8	3.0786190560542E-8	6.5285883343447E-9	2.2961747634264E-9	4.8507078210312E-9	6.4785891470587E-9	0	2.3376976467167E-9	0	0	0	0	0	0	2.5747011199355E-9	0	8.5601172217218E-9	0	6.4901844217111E-9	0	0	0	0	4.1570157997892E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000084567	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0592046576101E-9	0	0	0	0	0	0
OM-RGC.v2.000086263	Biota; Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0183239682677E-9	7.8391458039538E-8	2.1052638617586E-9	3.7146350915898E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0883136267572E-8	8.8974335450779E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7755045520482E-8	0	0	0	0	1.2054769223147E-8	1.9881759866048E-9	0	3.6110521761759E-8	0	0	8.6096987599703E-9	0	0	1.806840989496E-9	0	4.2104037735737E-9	2.1011308877405E-9	0	0	7.2115601708507E-8	2.9131399023908E-9	0	1.1084958086946E-8	0	4.3035546660209E-8	2.8344875370875E-7	0	6.8464228135505E-9	1.1935244332825E-8	2.2605043171715E-7	0	2.0227807333394E-7	2.3310301361993E-8	2.1730787610535E-8	0	0	0	0	0	0	0	0	7.156945112227E-9	0	0	6.4135770580416E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000090760	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Siansivirga; Siansivirga zeaxanthinifaciens CC-SAMT-1	7.6342662727183E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1237113594777E-9	0	0	0	0	0	0	0	0	1.0788995055798E-9	0	9.3372186776434E-10	1.6189836791628E-9	0	0	0	1.0474268348014E-9	0	1.172875101762E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094526090224E-10	0	0	0	0	0	0	0	5.44040284871E-9	0	0	0	0	1.6268345509585E-8	3.5665639871392E-9	2.3834468377284E-9	9.9366728257608E-10	4.280398035248E-10	5.7668968671727E-9	0	1.5616020651909E-8	2.4778807955723E-8	5.762749920127E-10	9.3594032446059E-9	6.8751380636266E-9	1.1950455153201E-8	2.6207761063424E-8	0	5.9152687737485E-10	0	0	1.7897808910717E-8	1.380840065992E-8	3.4092089405374E-8	2.4146825795607E-8	2.0357894326673E-9	7.1414467259348E-9	0	1.7848048991318E-9	2.2184693317372E-9	1.0940432595894E-8	0	4.4720697030982E-9
OM-RGC.v2.000091243	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Psychrobacter sp. P11F6	0	4.2286313056667E-9	0	0	0	3.0418479587566E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2251805350574E-9	0	2.0655597002499E-9	0	1.5226850231697E-9	0	6.279464887519E-9	5.341447275036E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8461145673551E-9	0	0	0	0	0	0	0	0	2.3372476815072E-9	0	8.6832715414147E-8	0	0	5.4671277922571E-9	0	0	3.2817997270483E-9	5.2724245230408E-9	6.1818813771663E-8	1.3604071002617E-8	5.7605686062905E-8	0	3.1958100544454E-9	0	2.5272220319132E-9	4.437312197659E-8	0	4.0281880428053E-9	6.8496606244678E-9	0	0	3.3311852654408E-9	0	0	0	0	0	0	0	0	0	1.0457951916729E-9	6.8103065510341E-9	0	0	0	1.9567594523075E-9	0	0	0	1.169461837467E-9	1.7477808515825E-8	0	0	6.1943861472851E-9	0	0	0	0	0	0	0	0	0	1.7180441049751E-9	1.3966539736794E-8	0	0	2.3883771932385E-8	0	9.2986819643868E-10	1.9526191073629E-9	0	0	4.6873185758763E-9	0	0	0	4.1412856499863E-9	0	0	9.6900942107467E-9	0	6.5647611689747E-9	0	3.9877703089174E-9	2.9398538207355E-9	0	1.5037702455288E-9	3.946509007333E-9	2.3632950581938E-9	3.0686721431628E-8	2.8274920631449E-8	1.1293203088465E-6	0	4.3569590124896E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4961410224313E-9	0	0	0	1.9756182637706E-9	0	0	0	0	0	0	0	0	0	1.7372114569814E-9	0	0	0	0	1.897073268188E-9	0	0	0	0	0	0
OM-RGC.v2.000091844	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7778404946738E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4740169941191E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
