OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
86	TARA_B100000929	TARA_109	MES	[0.22-3µm]	2.0649	-84.5546	TARA_109_MES_0.22-3	TARA_109	ERS492205	ERR599067|ERR598971	SAMEA2622362	SEQ-(10L-or-15min)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Coastal Biome	[NPO] North Pacific Ocean (MRGID:1908)	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	TARA_B100000929	2011-05-13T16:08	-3257	11.142362	34.791419	26.595869	511.4309	0	380		2.264562	33.049074	4.994E-6	0.038657464	0.411641767	3.423354744	0.9906	471.9535													12	24	69	14	422	64	0.60986	0.500877	4998.544817	6.832154721	18991.5	0.740244987									2.0649	-84.5546	0	spring	middle	-0.002594	0.005026	2.083333
89	TARA_B100001079	TARA_110	MES	[0.22-3µm]	-1.8902	-84.6141	TARA_110_MES_0.22-3	TARA_110	ERS492294	ERR599020	SAMEA2622429	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_B100001079	2011-05-22T13:20	-2279	10.082375	34.747805	26.748625	409.7887	0.00144	380	0	2.43975	26.734022	5.493E-6	0.042527045	0.645360056	6.029548923		634.104	69.317623138428	0.00023812219296815											33	38	68	13	373	75	0.54627	0.713291	5912.116367	7.181018104	19565.3	0.730786905									-1.8902	-84.6141	0	autumn	late	0.032297	0.064745	0
92	TARA_B100000585	TARA_111	MES	[0.22-3µm]	-16.9486	-100.672	TARA_111_MES_0.22-3	TARA_111	ERS492380		SAMEA2622498	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_B100000585	2011-06-01T16:00	-3902	10.69894	34.7072	26.609085	915.2628	0.00288	350	0	4.7047	29.923223	3.007E-6	0.013075565	0.043491448	7.843671242	2.2664	357.4615	42.429767608643	0.00022155041369842	0	0		0	0						75	82	85	13	327	261	0.599757	0.463204	4822.559469	6.674822174	17558	0.73063419	0	0	0	0	0	0	0	0	-16.9486	-100.6715	0	autumn	late	-0.075767	0.018781	34.305556
97	TARA_B100000700	TARA_122	DCM	[0.22-3µm]	-9.0063	-139.139	TARA_122_DCM_0.22-3	TARA_122	ERS492699	ERR598948	SAMEA2622690	SEQ-(10L-or-15min)_W0.22-3	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_B100000700	2011-07-28T17:15	-3695	24.661385	36.101175	24.2843	29.6602	0.11844	115	0.009886	178.3692	3.213808	2.316E-6	0.030111594	0.087558472	6.207147837	3.24993	300.345	43.59589767456	0.00011031677422579	0.0093	0.0028		0.0107	0		0.092792	0.582933	2.67775	1.907042	101	102	109	15	186	131	0.260512	0.561525					0.0144	0.0051	0.0028	0	0.0246	0	0.03415	0	-9.0063	-139.1394	0	winter	middle	0.007751	0.028977	15.833333
106	TARA_B100000614	TARA_128	DCM	[0.22-3µm]	0.0222	-153.686	TARA_128_DCM_0.22-3	TARA_128	ERS493098	ERR599032	SAMEA2622923	SEQ-(100L)_W0.22-3	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	TARA_B100000614	2011-09-05T18:40	-4767	26.139288	35.146525	23.1032	444.7725	0.21615	40		177.673063	3.000673	3.345E-6	0.032420254	0.078800819	3.827482581		483.8265	61.391651153565	0.00025536349858157	0.0036	0.0082		0.0203	0		0.2835	0.54925	5.264	2.7405	64	43	113	15	376	298	0.668404	0.732395	4723.258441	6.74178415	19859.1	0.732771488	0.0151	0.0062	0.0082	0	0.0463	0	0.0332	0.0022	0.0222	-153.6858	0	winter	late	0.069092	0.115437	0
109	TARA_B100001245	TARA_132	MES	[0.22-3µm]	31.528	-159.022	TARA_132_MES_0.22-3	TARA_132	ERS493372	ERR598980	SAMEA2623098	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Westerlies Biome	[NPO] North Pacific Ocean (MRGID:1908)	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	TARA_B100001245	2011-10-05T20:45	-5529	6.634392	33.991383	26.6805	970.5554	-0.0024	550	0	131.979417	28.302949	0.00081438	0.022323498	0.023501203	0.001618445		263.25375	28.313364028931	0.00015381415141746	0	0		0	0						47	113	56	56	646	137	0.486663	0.607278	6356.928968	6.831743729	19674.3	0.729293364	0	0	0	0	0	0	0	0	31.528	-159.0224	0	autumn	early	0.134524	0.043804	0
112	TARA_B100001105	TARA_133	MES	[0.22-3µm]	35.2698	-127.727	TARA_133_MES_0.22-3	TARA_133	ERS493460	ERR599115	SAMEA2623155	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Westerlies Biome	[NPO] North Pacific Ocean (MRGID:1908)	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	TARA_B100001105	2011-10-19T19:27	-4691	4.918875	34.333562	27.162231	522.5004	-0.0045	650	0	9.46475	43.553981	0.000164224	0.019672674	0.010027013	0.004801808		644.261	65.03458404541	0.00029809802072123	0	0		0	0						13	38	42	33	656	49	0.637497	0.44712	7460.331781	6.975785811	21207.9	0.719530468	0	0	0	0	0	0	0.0002	0	35.2698	-127.7268	0	autumn	early	-0.465615	0.043359	41.555556
122	TARA_B100002052	TARA_142	DCM	[0.22-3µm]	25.6168	-88.4532	TARA_142_DCM_0.22-3	TARA_142	ERS493981	ERR599100	SAMEA2623488	SEQ-(100L)_W0.22-3	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[CARB] Caribbean Province (MRGID:21466)	TARA_B100002052	2012-01-09T20:17	-3246	24.961605	36.17927	24.25287	395.8363	0.04617	125	0.000724	193.38225	0	0.00116825	0.009340256	0.04348362	0.254889735		356.5965	53.371240615845	9.6098676294787E-5	0.001	0.0189		0.041	0		0.0175		0.0615	1.168	145	34	154	14	205	321	0.644225	0.691085	4745.138573	6.796594791	18707.1	0.732082066	0.0294	0.0024	0.0189	0.0019	0.0748	0.0025	0.0388	0	25.6168	-88.4532	0	winter	early	-2.922481	0.044572	25.75
123	TARA_B100002049	TARA_142	MES	[0.22-3µm]	25.6236	-88.45	TARA_142_MES_0.22-3	TARA_142	ERS494006	ERR598985	SAMEA2623513	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Coastal Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[CARB] Caribbean Province (MRGID:21466)	TARA_B100002049	2012-01-10T14:49	-3257	9.735075	35.165212	27.13905	374.3394	-0.0009	640	0	108.231313	31.001404	0.00116825	0.009340256	0.04348362	0.254889735		353.047	53.371240615845	9.6098676294787E-5	0	0		0	0		0	1.2175		8.624	147	33	156	14	654	740	0.644225	0.691085	5980.493828	6.844384602	20525.4	0.738370666	0	0	0	0	0	0	0.0005	0	25.6236	-88.45	0	winter	early	-2.922481	0.044572	25.75
124	TARA_B100002051	TARA_142	SRF	[0.22-3µm]	25.5264	-88.394	TARA_142_SRF_0.22-3	TARA_142	ERS493938	ERR599136	SAMEA2623463	SEQ-(100L)_W0.22-3	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	3	Coastal Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[CARB] Caribbean Province (MRGID:21466)	TARA_B100002051	2012-01-09T13:41	-3325	24.98456	36.177285	24.236425	398.5282	0.05556	5	18.336382	195.54125	0	0.00116825	0.009340256	0.04348362	0.254889735		351.125	52.969932556152	8.9372770162299E-5	0.001	0.018	10.431768	0.0392	0	8.0769	0.0195	0.003	0.049	1.218	151	117	160	13	606	975	0.644225	0.691085	4605.451141	6.726868494	17733.7	0.734863726	0.0286	0.0024	0.018	0.0016	0.0674	0.0027	0.0394	0	25.5264	-88.394	0	winter	early	-2.922481	0.044572	25.75
