OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
6	TARA_X000000950	TARA_009	SRF	[0.22-3µm]	39.1633	5.916	TARA_009_SRF_0.22-1.6	TARA_009	ERS488119	ERR594288|ERR594316|ERR594317	SAMEA2619531	SEQ-(dry)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_X000000950	2009-09-28T12:18	-2913	24.4828	37.8042	25.621	156.9683	0.0058	9	19.939398			0.00138773	0.015086659	0.048709321	0.01675451		240.841	35.93962097168	8.3104867371731E-5	0	0.0003		0.0003	0						25	54	35				0.600831	0.52087	3982.789601	6.62496839	15315.1	0.749529591	0	0	0.0003	0	0.0016	0	0.0089	0	39.1633	5.916	0	autumn	early	0.021447	0.190651	0
9	TARA_E500000081	TARA_023	DCM	[0.22-3µm]	42.1735	17.7252	TARA_023_DCM_0.22-1.6	TARA_023	ERS477998	ERR315859|ERR315860	SAMEA2591098	SEQ-(100L)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_E500000081	2009-11-18T13:50	-1183	15.180558	38.47375	28.613475	57.9209	0.0656	55	0.054743	224.264417		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.013	0.012	0.05	1.0505	12	58	58	43	160		0.309499	0.542748													42.1735	17.7252	0	autumn	middle	-0.354776	0.078584	3.583333
11	TARA_E500000331	TARA_025	DCM	[0.22-3µm]	39.3991	19.3997	TARA_025_DCM_0.22-1.6	TARA_025	ERS488509	ERR599153|ERR599094	SAMEA2619782	SEQ-(100L)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_E500000331	2009-11-23T13:52	-1274	15.181967	38.489083	28.626442	38.5477	0.06	50	0.04793	229.908917		0.001387952	0.002326648	0.028696594	0.048666991		420.545	72.959285736084	0.00013645339640789							0.1055		0.3595	1.354	31	47	44	39	785		0.276219	0.500541													39.3991	19.3997	0	autumn	late	0.369749	0	0
23	TARA_B100000315	TARA_037	MES	[0.22-3µm]	20.8457	63.5851	TARA_037_MES_0.22-1.6	TARA_037	ERS488769	ERR599062|ERR599031	SAMEA2619970	SEQ-(10L-or-15min)_W0.22-1.6	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	1.6	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	TARA_B100000315	2010-03-12T17:08	-3391	11.984006	35.672725	27.130513	422.5596	0.00135	600	0	2.81625	31.290804	0.001387737	0.028889008	0.005607758	0.000920977	2.88692	1261.87	233.29707336426	0.00044534083281178	0	0		0	0							49	30	13	587	95							0	0	0	0	0	0	0.0004	0.0002	20.8457	63.5851	0	winter	late	-0.087532	0.06187	0
25	TARA_Y100000294	TARA_038	MES	[0.22-3µm]	19.0351	64.5638	TARA_038_MES_0.22-1.6	TARA_038	ERS488854		SAMEA2620040	SEQ-(dry)_W0.22-1.6	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_Y100000294	2010-03-16T06:13	-3350	14.901445	36.014205	26.787485	579.3061	0.00036	340	0	2.9502	22.18992	0.001387726	0.030032598	0.004277769	0.001138785	4.33027	847.091	96.306526184082	0.00021776983339805	0	0		0	0.0061		0.691	2.639	23.43	38.94	18	27	114	14	475	109	0.542872	0.579343					0	0	0	0	0	0	0.0012	0.0006	19.0351	64.5638	0	winter	late	0.005785	0.069484	0
28	TARA_B100000097	TARA_039	MES	[0.22-3µm]	18.7341	66.3896	TARA_039_MES_0.22-1.6	TARA_039	ERS488936	ERR599172|ERR599037	SAMEA2620097	SEQ-(100L)_W0.22-1.6	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000097	2010-03-20T08:15	-3147	15.553795	35.907681	26.565675	462.0824	0.00144	270	0	3.12405	18.560166	0.00138772	0.0255102	0.004728645	0.003323513	1.99059	487.271	80.985832214355	0.0002070110058412	0	0		0	0.0058		2.074	2.64	21.22	38.62	14	34	3	16	486	125	0.386281	0.51759					0	0	0	0	0	0	0.0013	0	18.7341	66.3896	0	spring	early	0.403157		2.25
37	TARA_B100000378	TARA_056	MES	[0.22-3µm]	-15.3379	43.2948	TARA_056_MES_0.22-3	TARA_056	ERS489727	ERR599112	SAMEA2620666	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_B100000378	2010-06-26T07:12	-3368	6.195775	34.8293	27.4047	102.9245	0	1000	0	88.88975		0.001008999	0.011774442	0.005387648	0.010581372	0.7966	286.329	43.841819763184	9.5272898761323E-5											82	85	93	22	985				6418.191431	6.934209534	20379.9	0.7427029									-15.3379	43.2948	0	winter	early	0.887425		1.25
43	TARA_B100000408	TARA_064	MES	[0.22-3µm]	-29.5046	37.9599	TARA_064_MES_0.22-3	TARA_064	ERS489987	ERR599164|ERR599021	SAMEA2620815	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_B100000408	2010-07-07T12:13	-4940	7.552017	34.572658	27.0189	547.7305	0	1000	0	190.888667		0.00080341	0.010198253	0.030657471	0.074760764	1.19559	552.457	64.700481414795	0.00016362794849556											125	55	185	733	171		0.31965	0.714446	6277.084116	6.789891982	19650.8	0.726436041									-29.5046	37.9599	0	winter	early	0.676958	0.119044	0
46	TARA_B000000460	TARA_065	MES	[0.22-3µm]	-35.1889	26.2905	TARA_065_MES_0.22-3	TARA_065	ERS490065	ERR598960|ERR599034	SAMEA2620882	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_B000000460	2010-07-12T06:46	-4316	8.33035	34.630583	26.947583	85.2841	-0.0018	850	0	199.726		0.000760815	0.009926958	0.065700063	0.482149295		621.475	79.920883178711	0.00016431616677437											78	20	88	679	1186		0.134533	0.817359	6265.395611	6.791873452	19527.4	0.729378736									-35.1889	26.2905	0	winter	early	4.780821	0.143321	0
51	TARA_B100000482	TARA_068	DCM	[0.22-3µm]	-31.027	4.6802	TARA_068_DCM_0.22-3	TARA_068	ERS490296	ERR599056|ERR599103|ERR599017	SAMEA2621037	SEQ-(100L)_W0.22-3	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_B100000482	2010-09-14T13:30	-4935	16.74878	35.68407	26.101325	1113.2454	0.27246	50	0.383273	231.9774	0.904785	0.00036828	0.015807986	0.06059745	0.129485512	5.91167	446.399	69.400001525879	0.00039400000241585	0.0038	0.0183		0.0692	0		0.285	0.227	1.08	2.436	156	42	353	237	1320		0.530677	0.674945					0.0484	0.005	0.0183	0.0048	0.1647	0	0.0815	0	-31.027	4.6802	0	winter	late	0.069036	0.120437	6.388889
