		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.000268018	Biota; 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6749944332968E-8	0	7.9928999943695E-7	0	8.2653975471974E-7	0	0	1.0861803502297E-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.107326428125E-9	0	0	0	0	0	0	0	0	0	0	4.5574994396249E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6461316255905E-8	0	0	0	0	0	0	0	0	1.1565862711346E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8642193964018E-7	1.6901558612603E-7	0	0	2.3398468032524E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000310159	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus; Psychroflexus salarius	0	1.0240160518308E-9	5.547011771834E-9	0	3.5017379346408E-9	0	0	0	0	0	0	1.0386495181786E-9	3.2088089748934E-10	0	0	0	0	0	0	0	0	0	0	3.886195954982E-9	0	2.6275232629192E-8	0	0	0	1.9549840153352E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0608518939032E-10	0	0	1.9988101652993E-9	5.6979207261207E-8	0	0	0	0	4.3535284521257E-8	0	0	2.9030006957988E-9	0	0	0	4.2038666112959E-9	0	1.8667113804359E-9	3.7816840420961E-8	5.6989637188841E-8	4.8893993093255E-8	5.4246560471542E-8	3.6768688643686E-9	8.5042914744625E-9	8.1975037948139E-9	3.2382853343567E-9	1.0890841450343E-8	0	0	0	0	1.1646467831072E-9	1.1974552741726E-8	0	2.4010365160419E-9	4.906599702012E-9	0	8.5005940165294E-9	1.4718598993853E-9	0	7.682143936969E-9	2.8457664254329E-9	0	5.1451780639482E-9	2.5427416995744E-9	0	8.6523008846738E-9	3.7690560139566E-8	4.0828892592067E-9	6.6480840900121E-10	0	0	0	2.2352461742433E-10	0	0	0	0	0	0	0	4.2581533952314E-9	0	0	1.4288833007327E-9	0	3.8213260633526E-9	0	0	1.9663113450953E-8	1.3602284970197E-8	0	2.0260690522407E-10	0	0	3.2639466159762E-9	0	0	0	3.3867327120684E-9	0	0	0	0	0	0	5.1779842565669E-10	0	8.5004628492588E-10	0	0	2.9055668094342E-9	5.0652399623114E-9	4.9098360810049E-8	4.7863342630534E-9	7.0734359011841E-8	2.4996997882568E-8	7.1860577762321E-9	1.0595634524181E-7	9.5793996159171E-9	1.9172692518905E-8	1.2274376210486E-7	6.4578520052204E-8	3.0062173990585E-8	1.0925534454754E-7	1.479043852103E-7	7.0240691954669E-8	6.0564966571549E-8	3.581886468172E-8	5.3327902300442E-8	3.3515741302531E-8	6.6813154488057E-7	1.5661964742271E-7	9.5357115667918E-8	8.4411645740872E-8	0	5.6006213320598E-8	3.0482719521549E-8	3.0559382575256E-8	6.9420500908935E-8	3.2017304936926E-8	4.3474894392082E-8	6.0351237857246E-8	2.4481719701756E-8	1.5024050731806E-8	1.4513967227888E-8	5.8631883161645E-8	2.6592176388303E-8	3.9741354362422E-8	8.92405623624E-8	1.1292356460215E-8	7.1439997902923E-8	3.307154236114E-8	8.9991196110773E-8
OM-RGC.v2.000324541	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales	6.5213990963853E-9	8.3859313062293E-9	1.6880077811693E-8	1.8696208060291E-7	5.9823757396996E-9	9.9110447144358E-8	2.3044231334158E-9	4.4551631948106E-9	0	1.2222227433746E-8	0	0	0	2.1379460405774E-9	0	0	0	3.8103467758185E-9	0	4.0818549223443E-9	0	0	2.9488432405866E-9	0	4.2172149799347E-9	0	0	3.3297680762762E-9	2.6372617398881E-8	0	0	0	0	0	0	0	2.2135693098738E-9	0	0	0	0	0	2.7883002535151E-8	0	1.8099275740514E-8	6.3352283727673E-9	0	0	0	7.0172318164683E-9	1.63825646754E-6	2.5622880816357E-7	1.4751440757701E-6	8.1592409975807E-6	1.8833642837401E-6	5.7178239342845E-7	6.9989429438826E-6	1.272425208932E-7	7.9911773362249E-7	5.9000056942099E-7	7.795098449087E-8	1.1075416464895E-8	6.1290433072956E-9	9.4245954130675E-9	2.6454765095588E-9	1.1228744341549E-8	0	2.666726145022E-9	0	0	1.7640780975773E-7	1.0069877945588E-8	1.4243661383087E-8	5.1786074057711E-9	7.9381444023803E-8	1.7036867554671E-7	2.5206202753562E-8	3.4269690176713E-7	4.6642959853133E-6	1.4388085341047E-6	5.7767363982033E-7	1.4143391859962E-7	2.3759518720271E-7	4.3259657475767E-9	6.1695223603625E-8	1.1489845498772E-7	0	6.3709910897257E-6	2.0820874303293E-7	3.0530244390678E-9	2.4275456667906E-9	4.5211607838144E-7	9.3073804369435E-8	1.1570502310882E-7	1.693040926701E-7	1.5162142761078E-8	7.9954661112636E-7	2.7292686945145E-7	6.9618373505321E-9	1.3546089501399E-7	0	4.7681936947847E-8	1.2271326863567E-8	1.0178895222395E-7	2.7172019269674E-9	2.3935337571998E-6	0	1.9780012329798E-9	8.5463632492091E-9	3.3026915367956E-9	1.3390055153117E-6	1.8331700440293E-7	0	4.8749014240165E-7	7.3286804104102E-6	6.3665973095561E-8	9.2539295591353E-8	9.2665174057311E-8	4.7910752371962E-8	4.0601455182962E-8	0	2.0542235039154E-8	5.5273631390266E-8	0	1.3531428714972E-7	6.870763822449E-9	1.1988966926198E-7	9.2327257893937E-9	9.8514306853676E-9	1.1431544226048E-7	2.8889312271753E-7	3.3027983973322E-9	8.9475511290517E-6	1.2769561330696E-8	5.0303589128428E-8	1.8825839200879E-8	7.6019901250816E-8	2.2706272409094E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000336332	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	1.6736710382726E-9	8.1227214070853E-10	5.6335058927226E-9	7.1685959581287E-9	0	0	0	0	0	0	1.0815950761831E-9	0	0	0	2.2396658950943E-9	2.8452781060244E-9	1.0454758825606E-9	0	1.2003018897235E-8	0	0	0	0	4.0330978894063E-9	3.6488637126758E-9	0	2.8122544688892E-9	2.0742211385821E-8	6.6341403842572E-9	0	2.229100511427E-9	0	0	1.0622761353638E-9	8.5527208693439E-9	2.2892821528163E-10	0	0	0	5.5331711301095E-8	2.5354585993341E-10	9.6068733436708E-9	0	1.5059748351679E-9	2.2792085870145E-9	0	0	0	0	0	0	2.0226745555308E-8	0	8.2465209785472E-7	0	0	4.4836910536526E-9	5.8032873788558E-9	0	3.1583502773639E-9	0	0	0	9.5734136719715E-10	0	0	0	0	0	0	1.5559035971049E-9	0	0	4.4215717571069E-9	0	0	0	0	2.8612532397912E-9	0	0	0	0	0	0	0	0	0	0	0	0	1.6275246727955E-9	0	0	0	0	0	0	0	0	6.680873177892E-9	0	7.9202787196585E-10	0	0	0	0	2.6668024071997E-9	0	0	0	0	0	0	0	0	0	3.3660750860872E-9	0	8.7629559817847E-10	0	0	0	1.6459922588828E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.856312312084E-9	1.831196502492E-9	0	2.5695779451815E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000362543	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Pseudoalteromonas luteoviolacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3092152892797E-9	0	0	0	2.9213496914529E-9	0	0	0	0	0	0	5.2374327006707E-9	5.5574753633684E-8	0	0	1.5099038115669E-8	1.550191715506E-9	1.1001384564187E-7	9.5351483427317E-7	7.4670810647607E-7	0	0	6.6054806319755E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000365658	Biota; 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7365578413791E-7	0	2.5958113340087E-7	0	0	2.7765854977841E-7	0	0	0	0	0	0	0	0	4.8443838975794E-9	0	0	0	0	0	1.8291714830179E-8	0	2.7817210568312E-9	1.0816972371534E-8	0	0	0	0	0	4.7649758118823E-9	0	1.178738462145E-8	0	1.9540554453689E-9	1.301611519401E-8	0	0	1.0936314817704E-8	0	0	4.7532752959933E-9	0	0	0	0	0	6.9126513044832E-9	0	0	0	0	0	0	9.913497527107E-9	0	0	0	2.052951610999E-7	0	0	1.9133870330546E-8	0	0	2.1102247517454E-8	0	0	7.5529022810962E-8	0	0	3.6757915057509E-8	0	0	1.7343423436783E-8	0	0	1.0779633464265E-8	0	0	0	0	0	0	0	0	0	0	8.6187692385031E-9	0	0	1.5127062935012E-8	0	4.2935172771398E-7	6.0048705100196E-7	0	0	5.4121954755099E-7	0	0	0	0	4.8701737072893E-9	0	7.6767618673268E-9	0	1.0736923624632E-8	0	0	2.1973984613482E-9	1.0177215522375E-8	0	0	0	2.8659914654735E-9	0	7.9662132612876E-9	0	0	0	7.8748440851097E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000368697	Biota; 	7.4687105414026E-9	0	0	0	8.2348456383273E-9	0	0	3.4985796877865E-9	0	0	1.5278373892442E-8	0	0	0	0	0	0	0	6.1014471818891E-9	0	0	0	0	0	4.5173571754599E-9	0	0	4.2285803290388E-9	2.1939580351534E-9	0	0	0	2.4888705970111E-8	0	2.6582158560865E-9	0	6.1332727912545E-9	0	3.4111596121497E-9	0	8.3797986716432E-9	3.2271846772178E-8	1.2331430041667E-8	3.494826956621E-8	6.2077235218288E-8	7.525293882091E-9	9.3681907317136E-8	1.5653226182133E-8	6.3015560010536E-9	2.4172149651227E-8	8.8675620432967E-9	1.672546165486E-8	9.0825793123273E-9	8.0126867890886E-10	1.2726774255597E-8	1.7938051607992E-9	4.6542496989722E-9	0	0	5.911222667258E-9	4.4117693968578E-9	5.9277775859836E-9	0	0	0	4.8141994593293E-9	0	2.208509220972E-8	1.3857048424352E-8	0	1.3193937639914E-8	0	0	0	0	2.532087604043E-9	4.9405849752158E-9	0	6.8807429467996E-9	2.7390002316224E-9	0	3.0539739015975E-8	5.2872144988433E-8	2.7895294186029E-8	6.2051315160513E-9	2.1753041706912E-8	0	1.1283586599662E-8	2.6438070558672E-8	9.3738541122613E-9	0	2.4751081304389E-8	0	3.4519257409307E-9	6.4548088517482E-9	0	0	7.9269917166421E-9	0	0	0	0	0	0	0	1.8887774476366E-9	3.7162662988489E-9	2.7402849075167E-9	2.4955892828005E-8	0	3.0752259066056E-8	2.0520064043288E-8	0	0	0	1.0537943895449E-8	3.9376273841541E-8	0	3.347194331451E-9	1.4178594019487E-8	1.6627559556316E-8	0	6.1268056780054E-9	0	3.8275923759735E-9	2.1867596886073E-8	9.7877924010226E-9	3.542446768323E-8	6.2067459510511E-9	1.0571731931422E-9	5.7378288145513E-9	5.9197257727403E-9	7.1983722377038E-8	9.1219546309482E-8	3.9570109571969E-8	1.3050107021809E-7	2.395351610952E-8	0	0	8.1949806795212E-8	4.5984875494353E-9	1.0448561108409E-7	0	7.9612714696771E-8	2.0462784911984E-9	3.7007564700557E-7	3.267296536887E-9	0	4.8436946361257E-9	0	7.2318089258935E-8	2.6640791469853E-8	5.7402100402486E-9	0	2.3589794779743E-7	0	0	0	5.4691985789157E-8	1.1458669870668E-8	0	1.1406531034403E-7	0	0	0	2.7096354238097E-9	0	0	1.3226317777169E-8	1.1203888261803E-7	0	1.33783281585E-7	2.3921524841791E-9	7.7864453586634E-8	2.8597814692288E-8	5.1894951533966E-8	4.1129191555726E-8	2.7985267394957E-8	5.0330176547774E-8	4.5474813262432E-8
OM-RGC.v2.000382566	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio	3.5537550250163E-8	3.7176895128452E-8	3.6365265076771E-7	1.2953036812828E-6	1.5324137733547E-7	3.0639162125059E-7	1.3630980457741E-7	6.5487489708626E-8	8.7069306584145E-8	1.419005807491E-8	5.0228038502029E-8	4.6181365188185E-9	0	6.7416068526405E-9	0	4.9010799991095E-8	2.5228372103952E-9	2.6290264597341E-7	1.5852747303077E-7	2.3641263132015E-8	1.5135959500165E-7	3.7168249233741E-9	2.3586799064827E-6	5.0033680748908E-7	2.8440297031603E-7	2.5818909899708E-7	9.2329031514515E-8	2.8193884101914E-7	5.2530856562891E-7	2.2892117666767E-7	3.6151987667209E-7	9.8740945768746E-8	2.3047651743569E-8	1.8816883852868E-9	5.1355983419296E-8	3.8324707692817E-8	3.1749626104923E-8	0	6.9538408994296E-9	1.8451565220205E-7	6.71967227275E-10	6.2860566472915E-8	1.660481419148E-7	0	1.1057023786344E-8	9.4060219645962E-8	0	8.087580465107E-9	1.0829822139965E-8	0	1.69171764735E-7	6.6028950536163E-8	4.7564616071867E-8	4.8772466322926E-8	2.3768470386682E-8	4.9661858771101E-8	5.3384580943977E-8	0	2.3475199949341E-8	7.3601075228158E-8	0	2.9983125885085E-9	1.470847030031E-7	2.9658360081203E-8	7.938951202587E-8	3.1705432827853E-8	3.3382487522774E-9	0	0	3.0864942071016E-9	0	3.8737766344585E-8	9.7031003610857E-8	7.7303585913221E-8	0	9.2549510673152E-8	6.1709591495895E-9	3.5942134130101E-9	2.5033456068373E-7	1.0832981426445E-7	1.0501210889103E-7	8.9337863888474E-8	9.6686140747119E-8	0	3.2203345838282E-8	1.4278169965661E-6	0	6.0009881976271E-8	4.3493724378721E-7	1.8960638075388E-7	6.2050307423147E-8	3.1184996601515E-7	9.1157519883219E-9	2.1818759425249E-7	1.8962215532854E-7	6.5115339427797E-9	5.0389886635635E-8	3.8614368506222E-8	0	2.8421729888086E-8	0	6.568752927817E-9	1.6377557341727E-9	6.8235305569417E-8	2.7956143810881E-9	5.5225024592321E-7	2.4936537607965E-8	6.4174385337026E-9	2.4396238829535E-7	9.2572538623382E-9	2.3680731369926E-8	8.4956483785286E-8	4.8280524175348E-9	6.4783749075605E-8	1.9696517692592E-7	1.0347215132617E-8	1.6680176399799E-7	2.2373949402134E-7	2.7088559932084E-8	2.4906986229271E-8	0	1.4399498256099E-8	1.5730638029827E-7	3.4219815835549E-9	4.7227246900837E-8	1.0759876180507E-9	2.6521799344399E-9	0	0	5.7416184249732E-8	3.5263717196372E-8	0	1.7735241413392E-8	8.0802113929072E-10	6.8779540766483E-9	0	1.1692373895358E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000418458	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0190750641744E-7	1.3074616052243E-7	4.2490453464566E-7	3.5881853846645E-7	4.0230817848198E-9	9.9336949982982E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2315890364505E-8	3.4913427520764E-9	1.6257418788163E-8	8.1479565052032E-9	2.2270060758701E-9	7.884239282142E-8	2.3883580893065E-9	1.6959566648746E-9	1.078150161325E-8	7.9589156810105E-9	0	1.0646906455827E-8	1.1191315390789E-8	2.0689787794649E-8	2.436815645292E-8	5.5769267885632E-9	1.3733325316584E-8	9.4238721043482E-9	3.8778194137268E-8	9.1269325273037E-9	5.4969796022842E-9	1.4662480751331E-8	0	2.2359758258639E-8	5.3577246695949E-9	7.9023049270122E-9	2.812982662853E-9	1.2370466858128E-8	1.5610192842197E-8	6.902241013775E-8	1.9213684294834E-9	2.1030802737194E-9	1.20268263761E-8	5.4001077789775E-8	5.8427143325693E-9	1.490511407593E-9	0	1.0272650004616E-8	1.674379909454E-8	8.6716714559458E-10	1.7256645606611E-9
