depth,latitude,longitude,time,siage,sisnthick,sithick,so,thetao,atmospheric_temperature
0.0,83.125,19.84000000003124,2023-04-02,562.4725,0.38213307,2.0891478,33.871265,-1.8275219,-25.4625
0.0,83.1875,19.6000000000312,2023-04-01,563.5049,0.38210234,2.089401,33.845524,-1.8260853,-23.5
0.0,83.25,19.360000000031164,2023-03-31,564.6956,0.3820196,2.0887783,33.827873,-1.8246115,-23.68542
0.0,83.3125,18.720000000031064,2023-03-30,566.76654,0.38133946,2.0943277,33.85453,-1.8253065,-22.812502
0.0,83.4375,18.080000000030964,2023-03-29,566.92706,0.38178322,2.1082895,33.93122,-1.8240577,-22.2875
0.0,83.5625,17.6800000000309,2023-03-28,565.4945,0.38214594,2.1138284,33.99872,-1.8228674,-20.795834
0.0,83.6875,17.440000000030864,2023-03-27,564.95636,0.38189802,2.1170833,34.037563,-1.8253621,-21.533333
0.0,83.75,17.440000000030864,2023-03-26,565.683,0.3821045,2.0595198,34.03889,-1.8318717,-22.14583
0.0,83.8125,17.520000000030876,2023-03-25,566.3603,0.38286036,2.0541499,34.047108,-1.8317538,-22.922918
0.0,83.9375,17.92000000003094,2023-03-24,564.54895,0.3822767,2.0483527,34.053535,-1.8323671,-22.556252
0.0,84.0,18.160000000030976,2023-03-23,565.1935,0.38135093,2.0445738,34.06102,-1.8328804,-24.522919
0.0,84.0625,18.24000000003099,2023-03-22,565.83575,0.38078797,2.0545359,34.07647,-1.833159,-23.514582
0.0,84.1875,18.56000000003104,2023-03-21,563.54333,0.3767748,2.0486581,34.088593,-1.8348635,-29.981247
0.0,84.25,18.080000000030964,2023-03-20,565.1823,0.3780783,2.06627,34.101948,-1.8361474,-31.704168
0.0,84.375,17.200000000030826,2023-03-19,568.14105,0.3803396,2.1017601,34.104614,-1.8197242,-26.718752
0.0,84.4375,16.72000000003075,2023-03-18,569.2203,0.38127452,2.0972471,34.10187,-1.8227746,-27.879166
0.0,84.5,16.480000000030714,2023-03-17,567.7189,0.3831923,2.0894325,34.099606,-1.8253176,-30.027084
0.0,84.5625,16.32000000003069,2023-03-16,567.8749,0.3851482,2.0834773,34.096626,-1.8266973,-30.129168
0.0,84.625,16.32000000003069,2023-03-15,567.8967,0.385986,2.0751333,34.09153,-1.8275517,-30.924997
0.0,84.625,16.560000000030726,2023-03-14,570.7146,0.3885493,2.0588593,34.087135,-1.826942,-29.96875
0.0,84.6875,17.120000000030814,2023-03-13,569.4774,0.38850096,2.048671,34.075,-1.8253577,-28.893747
0.0,84.75,17.92000000003094,2023-03-12,567.6472,0.38795486,2.0149176,34.07504,-1.8282686,-27.82917
0.0,84.875,19.04000000003111,2023-03-11,562.4179,0.38491026,2.0191772,34.060005,-1.8214915,-27.702085
0.0,85.0,20.720000000031376,2023-03-10,556.6659,0.3833132,2.0086837,34.07176,-1.799253,-28.825003
0.0,85.1875,22.08000000003159,2023-03-09,549.79315,0.38109902,2.016313,34.085613,-1.7752033,-28.84375
0.0,85.375,22.40000000003164,2023-03-08,546.4597,0.3804208,2.0480204,34.062336,-1.7970816,-26.495834
0.0,85.5,22.640000000031677,2023-03-07,545.9423,0.37713215,2.053275,34.055794,-1.8144509,-22.327085
0.0,85.625,23.4400000000318,2023-03-06,544.36743,0.37359896,2.0454118,34.073067,-1.8313048,-29.583336
0.0,85.75,23.920000000031877,2023-03-05,543.0073,0.3733087,2.0773346,34.124767,-1.8201385,-27.92291
0.0,85.875,23.920000000031877,2023-03-04,542.47107,0.37332553,2.0903456,34.125893,-1.8184558,-27.902084
0.0,86.0,24.16000000003191,2023-03-03,542.01245,0.37330347,2.0906284,34.097076,-1.8169847,-27.714579
0.0,86.0,24.720000000032,2023-03-02,544.52014,0.37301797,2.056879,34.101795,-1.8192382,-22.045832
0.0,86.0625,25.92000000003219,2023-03-01,544.7931,0.36751258,2.0362704,34.121723,-1.8302125,-18.87708
0.0,86.125,27.360000000032414,2023-02-28,540.7329,0.36438352,2.019982,34.18025,-1.8257368,-16.160414
0.0,86.125,28.16000000003254,2023-02-27,540.5166,0.36625805,2.0257483,34.204067,-1.822043,-15.081249
0.0,86.0625,29.360000000032727,2023-02-26,543.37805,0.36376145,2.0768661,34.215805,-1.8104687,-11.156247
0.0,86.0625,31.04000000003299,2023-02-25,539.2027,0.35305414,2.0672736,34.204308,-1.8004524,-17.281252
0.0,86.125,31.840000000033115,2023-02-24,533.7105,0.3443345,2.0727494,34.17849,-1.809931,-29.38125
0.0,86.1875,31.760000000033106,2023-02-23,533.6338,0.34179732,2.0690515,34.16885,-1.8045356,-30.599998
0.0,86.25,31.600000000033077,2023-02-22,533.6099,0.34181717,2.071209,34.16167,-1.7897791,-31.364584
0.0,86.3125,31.520000000033065,2023-02-21,533.07874,0.34224033,2.0694041,34.154545,-1.7761917,-30.852087
0.0,86.4375,32.96000000003329,2023-02-20,527.84827,0.34419695,2.0767891,34.15516,-1.7740784,-30.889582
0.0,86.5625,36.40000000003383,2023-02-19,520.53217,0.34698445,1.9855428,34.016525,-1.7762699,-30.472918
0.0,86.625,39.60000000003433,2023-02-18,516.9048,0.34876502,1.972959,33.794144,-1.785394,-27.860415
0.0,86.625,41.760000000034665,2023-02-17,516.74927,0.3491818,1.974856,33.70648,-1.7942067,-28.708334
0.0,86.6875,43.680000000034966,2023-02-16,513.16187,0.34854898,1.9795858,33.445568,-1.7928052,-29.629168
0.0,86.6875,45.2000000000352,2023-02-15,511.62518,0.3477759,1.9832854,33.459465,-1.7970666,-29.137491
0.0,86.6875,46.80000000003545,2023-02-14,508.84253,0.34643656,1.9750224,33.58991,-1.7998035,-31.295832
0.0,86.625,48.64000000003574,2023-02-13,507.4656,0.3466282,1.9597435,33.868053,-1.7818298,-28.293749
0.0,86.5625,51.360000000036166,2023-02-12,505.6835,0.34537324,1.8232524,33.978302,-1.7435673,-26.108335
0.0,86.4375,55.520000000036816,2023-02-11,504.37958,0.34240288,1.8153442,33.615635,-1.7439868,-23.697916
0.0,86.25,58.960000000037354,2023-02-10,503.14407,0.34048483,1.803678,33.122124,-1.7552654,-20.939585
0.0,85.9375,60.80000000003764,2023-02-09,500.99414,0.34104422,1.7628293,33.207436,-1.7416594,-22.168749
0.0,85.625,61.84000000003781,2023-02-08,501.3892,0.34025368,1.6994677,33.33625,-1.7451904,-15.254167
0.0,85.4375,61.92000000003782,2023-02-07,502.70712,0.33312517,1.6875932,33.29483,-1.7659637,-18.639584
0.0,85.375,61.84000000003781,2023-02-06,499.59195,0.33036888,1.7061995,33.360947,-1.791786,-25.785416
0.0,85.3125,62.32000000003788,2023-02-05,497.87897,0.33020774,1.5770696,33.687824,-1.8074536,-26.141668
0.0,85.3125,63.04000000003799,2023-02-04,495.2191,0.3299938,1.5839051,33.72517,-1.8082446,-26.227083
0.0,85.375,63.84000000003812,2023-02-03,494.6059,0.33024502,1.6094624,33.52103,-1.801169,-25.75
0.0,85.375,64.80000000003827,2023-02-02,493.8873,0.3301665,1.6144761,33.474625,-1.7975394,-25.99375
0.0,85.375,65.76000000003842,2023-02-01,493.41547,0.3294942,1.6212206,33.50425,-1.7949935,-27.372915
0.0,85.375,66.72000000003857,2023-01-31,491.9256,0.3286969,1.6337125,33.51245,-1.7821555,-27.504166
0.0,85.3125,67.84000000003874,2023-01-30,490.33972,0.32825723,1.6205479,33.543648,-1.7718542,-26.683332
0.0,85.25,69.04000000003893,2023-01-29,488.83273,0.32756278,1.4842087,33.26965,-1.7815629,-25.531252
0.0,85.1875,70.48000000003915,2023-01-28,486.00186,0.32641664,1.4799944,33.174114,-1.7788463,-23.214582
0.0,85.0625,72.24000000003943,2023-01-27,481.44193,0.32473084,1.4679476,33.180275,-1.7735465,-20.741667
0.0,84.9375,74.0000000000397,2023-01-26,475.94843,0.32117063,1.4605856,33.201855,-1.7724434,-20.860418
0.0,84.8125,75.44000000003993,2023-01-25,471.8423,0.31931916,1.4604595,33.154728,-1.7675278,-15.385417
0.0,84.6875,76.00000000004002,2023-01-24,471.21667,0.3144083,1.4630044,33.282707,-1.7767859,-13.681249
0.0,84.5625,76.00000000004002,2023-01-23,472.79364,0.31125125,1.4607784,33.43336,-1.7834632,-13.918751
0.0,84.375,75.92000000004,2023-01-22,471.08878,0.30864796,1.4155382,33.43465,-1.7790303,-17.316666
